"contrast","estimate","SE","df","t.ratio","p.value","contrast_pretty"
"NR X1 Order1 - PR X2 Order2",-3.98484848484848,6.83156374766752,21,-0.583299612216752,1,"NANA OrderNA - NANA OrderNA"
"NR X1 Order1 - NR X3 Order2",-7.15151515151515,5.90121204859523,21,-1.21187225482222,1,"NANA OrderNA - NANA OrderNA"
"NR X1 Order1 - PR X3 Order2",-4.73484848484849,6.86721406680401,21,-0.68948607671001,1,"NANA OrderNA - NANA OrderNA"
"NR X1 Order1 - NR X4 Order2",-8.15151515151515,6.13375944598309,21,-1.32895905411704,1,"NANA OrderNA - NANA OrderNA"
"NR X1 Order1 - PR X4 Order2",-4.15151515151515,6.16912229383173,21,-0.672950697648852,1,"NANA OrderNA - NANA OrderNA"
"NR X1 Order1 - NR X5 Order2",-13.1515151515152,6.54805109900305,21,-2.00846251085571,1,"NANA OrderNA - NANA OrderNA"
"NR X1 Order1 - PR X5 Order2",-5.48484848484848,6.0656869034545,21,-0.9042419386541,1,"NANA OrderNA - NANA OrderNA"
"NR X1 Order1 - NR X6 Order2",-6.40151515151515,5.70763518961937,21,-1.12157048214255,1,"NANA OrderNA - NANA OrderNA"
"NR X1 Order1 - PR X6 Order2",-8.81818181818182,6.09270719296954,21,-1.44733392544405,1,"NANA OrderNA - NANA OrderNA"
"PR X1 Order1 - NR X2 Order1",5.18181818181818,6.88819274304814,21,0.752275433501464,1,"NANA OrderNA - NANA OrderNA"
"PR X1 Order1 - PR X2 Order1",-0.454545454545456,0.616256231942629,21,-0.737591655848396,1,"NANA OrderNA - NANA OrderNA"
"PR X1 Order1 - NR X3 Order1",5,6.25527194680033,21,0.799325759539133,1,"NANA OrderNA - NANA OrderNA"
"PR X1 Order1 - PR X3 Order1",-2,1.67777682214742,21,-1.19205365910358,1,"NANA OrderNA - NANA OrderNA"
"PR X1 Order1 - NR X4 Order1",5.45454545454546,6.58786564553423,21,0.827968533062445,1,"NANA OrderNA - NANA OrderNA"
"PR X1 Order1 - PR X4 Order1",0.636363636363636,5.3972945448174,21,0.117904189048694,1,"NANA OrderNA - NANA OrderNA"
"PR X1 Order1 - NR X5 Order1",5.45454545454545,7.21632166958589,21,0.755862294433788,1,"NANA OrderNA - NANA OrderNA"
"PR X1 Order1 - PR X5 Order1",-0.0909090909090914,5.72036276621471,21,-0.0158921898181027,1,"NANA OrderNA - NANA OrderNA"
"PR X1 Order1 - NR X6 Order1",5.18181818181818,5.99731290128703,21,0.864023316293228,1,"NANA OrderNA - NANA OrderNA"
"PR X1 Order1 - PR X6 Order1",1.18181818181818,5.98059742715788,21,0.197608716555899,1,"NANA OrderNA - NANA OrderNA"
"PR X1 Order1 - NR X0 Order2",-8.29545454545455,7.07248283463098,21,-1.17291971425299,1,"NANA OrderNA - NANA OrderNA"
"PR X1 Order1 - PR X0 Order2",5.45454545454545,5.10978771316058,21,1.0674700713098,1,"NANA OrderNA - NANA OrderNA"
"PR X1 Order1 - NR X1 Order2",-7.71212121212121,7.05198846738831,21,-1.09360944757435,1,"NANA OrderNA - NANA OrderNA"
"PR X1 Order1 - PR X1 Order2",-0.212121212121214,7.00345360604315,21,-0.0302880870001307,1,"NANA OrderNA - NANA OrderNA"
"PR X1 Order1 - NR X2 Order2",-5.54545454545455,6.28962840103148,21,-0.881682381195225,1,"NANA OrderNA - NANA OrderNA"
"PR X1 Order1 - PR X2 Order2",0.287878787878787,6.77687745497175,21,0.04247956227504,1,"NANA OrderNA - NANA OrderNA"
"PR X1 Order1 - NR X3 Order2",-2.87878787878788,5.83781709577688,21,-0.493127453559725,1,"NANA OrderNA - NANA OrderNA"
"PR X1 Order1 - PR X3 Order2",-0.462121212121215,6.81281394436764,21,-0.0678311804629957,1,"NANA OrderNA - NANA OrderNA"
"PR X1 Order1 - NR X4 Order2",-3.87878787878788,6.07279258187254,21,-0.638715685822397,1,"NANA OrderNA - NANA OrderNA"
"PR X1 Order1 - PR X4 Order2",0.121212121212121,6.10850838400923,21,0.0198431619623259,1,"NANA OrderNA - NANA OrderNA"
"PR X1 Order1 - NR X5 Order2",-8.87878787878788,6.49097665967259,21,-1.36786624637713,1,"NANA OrderNA - NANA OrderNA"
"PR X1 Order1 - PR X5 Order2",-1.21212121212121,6.00402884836497,21,-0.201884641585508,1,"NANA OrderNA - NANA OrderNA"
"PR X1 Order1 - NR X6 Order2",-2.12878787878788,5.64206560215677,21,-0.377306474064059,1,"NANA OrderNA - NANA OrderNA"
"PR X1 Order1 - PR X6 Order2",-4.54545454545455,6.03132537180031,21,-0.753641076421941,1,"NANA OrderNA - NANA OrderNA"
"NR X2 Order1 - PR X2 Order1",-5.63636363636364,6.59404562875971,21,-0.854765640653262,1,"NANA OrderNA - NANA OrderNA"
"NR X2 Order1 - NR X3 Order1",-0.181818181818181,1.35209158208069,21,-0.134471794830929,1,"NANA OrderNA - NANA OrderNA"
"NR X2 Order1 - PR X3 Order1",-7.18181818181818,6.69578695163942,21,-1.07258761870548,1,"NANA OrderNA - NANA OrderNA"
"NR X2 Order1 - NR X4 Order1",0.272727272727273,2.17108954318769,21,0.125617698994968,1,"NANA OrderNA - NANA OrderNA"
"NR X2 Order1 - PR X4 Order1",-4.54545454545455,3.29724661429375,21,-1.37856068325304,1,"NANA OrderNA - NANA OrderNA"
"NR X2 Order1 - NR X5 Order1",0.272727272727272,2.65542692277555,21,0.102705621603854,1,"NANA OrderNA - NANA OrderNA"
"NR X2 Order1 - PR X5 Order1",-5.27272727272727,3.66263955445217,21,-1.43959764381345,1,"NANA OrderNA - NANA OrderNA"
"NR X2 Order1 - NR X6 Order1",-8.88178419700125e-16,2.42186707220692,21,-3.66732935053605e-16,1,"NANA OrderNA - NANA OrderNA"
"NR X2 Order1 - PR X6 Order1",-4,3.15953857116573,21,-1.26600764950439,1,"NANA OrderNA - NANA OrderNA"
"NR X2 Order1 - NR X0 Order2",-13.4772727272727,6.29828911863015,21,-2.13983074981543,1,"NANA OrderNA - NANA OrderNA"
"NR X2 Order1 - PR X0 Order2",0.272727272727271,3.9696804467453,21,0.0687025760350252,1,"NANA OrderNA - NANA OrderNA"
"NR X2 Order1 - NR X1 Order2",-12.8939393939394,6.27526682459661,21,-2.05472368814664,1,"NANA OrderNA - NANA OrderNA"
"NR X2 Order1 - PR X1 Order2",-5.3939393939394,6.22067478556016,21,-0.867098760163474,1,"NANA OrderNA - NANA OrderNA"
"NR X2 Order1 - NR X2 Order2",-10.7272727272727,5.4044294609854,21,-1.98490382837133,1,"NANA OrderNA - NANA OrderNA"
"NR X2 Order1 - PR X2 Order2",-4.89393939393939,5.96443630324019,21,-0.820520019851793,1,"NANA OrderNA - NANA OrderNA"
"NR X2 Order1 - NR X3 Order2",-8.06060606060606,4.87119500938424,21,-1.65474920324017,1,"NANA OrderNA - NANA OrderNA"
"NR X2 Order1 - PR X3 Order2",-5.6439393939394,6.00523656622079,21,-0.939836313141487,1,"NANA OrderNA - NANA OrderNA"
"NR X2 Order1 - NR X4 Order2",-9.06060606060606,5.15046037924293,21,-1.75918372212348,1,"NANA OrderNA - NANA OrderNA"
