"contrast","estimate","SE","df","t.ratio","p.value","contrast_pretty"
"PR X5 Order1 - NR X6 Order1",5.27272727272727,3.59358404030786,21,1.46726143415184,0.998098878310134,"NANA OrderNA - NANA OrderNA"
"PR X5 Order1 - PR X6 Order1",1.27272727272727,1.73685350780346,21,0.732777558388818,0.999999994137757,"NANA OrderNA - NANA OrderNA"
"PR X5 Order1 - NR X0 Order2",-8.20454545454546,5.98650108697323,21,-1.37050763632178,0.999274745392718,"NANA OrderNA - NANA OrderNA"
"PR X5 Order1 - PR X0 Order2",5.54545454545454,3.45370993161682,21,1.60565150381882,0.993924508651677,"NANA OrderNA - NANA OrderNA"
"PR X5 Order1 - NR X1 Order2",-7.62121212121212,5.96227499888755,21,-1.27823894782346,0.999748029137974,"NANA OrderNA - NANA OrderNA"
"PR X5 Order1 - PR X1 Order2",-0.121212121212123,5.90478993954743,21,-0.0205277617752839,1,"NANA OrderNA - NANA OrderNA"
"PR X5 Order1 - NR X2 Order2",-5.45454545454546,5.03761920367584,21,-1.08276255786968,0.999984608789829,"NANA OrderNA - NANA OrderNA"
"PR X5 Order1 - PR X2 Order2",0.378787878787879,5.63420356908465,21,0.0672300661740942,1,"NANA OrderNA - NANA OrderNA"
"PR X5 Order1 - NR X3 Order2",-2.78787878787879,4.4607499663091,21,-0.624979837232511,0.999999999841375,"NANA OrderNA - NANA OrderNA"
"PR X5 Order1 - PR X3 Order2",-0.371212121212124,5.67737753357587,21,-0.0653844348058209,1,"NANA OrderNA - NANA OrderNA"
"PR X5 Order1 - NR X4 Order2",-3.78787878787879,4.76413597209693,21,-0.795082006488484,0.999999965494647,"NANA OrderNA - NANA OrderNA"
"PR X5 Order1 - PR X4 Order2",0.212121212121212,4.80957965894036,21,0.0441038982953339,1,"NANA OrderNA - NANA OrderNA"
"PR X5 Order1 - NR X5 Order2",-8.78787878787879,5.28686672941509,21,-1.66220925127255,0.990828789274454,"NANA OrderNA - NANA OrderNA"
"PR X5 Order1 - PR X5 Order2",-1.12121212121212,4.67616768627694,21,-0.239771581438904,1,"NANA OrderNA - NANA OrderNA"
"PR X5 Order1 - NR X6 Order2",-2.03787878787879,4.2013195638064,21,-0.485056839149952,1,"NANA OrderNA - NANA OrderNA"
"PR X5 Order1 - PR X6 Order2",-4.45454545454546,4.7111641404969,21,-0.945529665641329,0.99999879444254,"NANA OrderNA - NANA OrderNA"
"NR X6 Order1 - PR X6 Order1",-4,3.08951352078184,21,-1.29470221544386,0.999692397040564,"NANA OrderNA - NANA OrderNA"
"NR X6 Order1 - NR X0 Order2",-13.4772727272727,5.58923193676222,21,-2.41129244228143,0.77255745934345,"NANA OrderNA - NANA OrderNA"
"NR X6 Order1 - PR X0 Order2",0.272727272727272,2.70729212874041,21,0.100738028907934,1,"NANA OrderNA - NANA OrderNA"
"NR X6 Order1 - NR X1 Order2",-12.8939393939394,5.56327615177879,21,-2.31768818267573,0.820861049461852,"NANA OrderNA - NANA OrderNA"
"NR X6 Order1 - PR X1 Order2",-5.3939393939394,5.50162363387134,21,-0.98042682540678,0.99999756612101,"NANA OrderNA - NANA OrderNA"
"NR X6 Order1 - NR X2 Order2",-10.7272727272727,4.55839068310678,21,-2.35330261774788,0.803066434160004,"NANA OrderNA - NANA OrderNA"
"NR X6 Order1 - PR X2 Order2",-4.89393939393939,5.21014090370667,21,-0.93931037267297,0.99999894090802,"NANA OrderNA - NANA OrderNA"
"NR X6 Order1 - NR X3 Order2",-8.06060606060606,3.91147141629819,21,-2.06076056877711,0.923366513910436,"NANA OrderNA - NANA OrderNA"
