mouse_id,sex,order,phase,param,day,value
FEDXA07,M,1.0,NR,meal_freq_per_day,1,0.9166666666666666
FEDXA07,M,1.0,NR,meal_freq_per_day,2,1.1666666666666667
FEDXA07,M,1.0,NR,meal_freq_per_day,3,1.2916666666666667
FEDXA07,M,1.0,NR,meal_freq_per_day,4,0.875
FEDXA07,M,1.0,NR,meal_freq_per_day,5,1.4166666666666667
FEDXA07,M,1.0,NR,meal_freq_per_day,6,1.4166666666666667
FEDXA07,M,1.0,NR,meal_freq_per_day,7,1.2916666666666667
FEDXA08,M,1.0,NR,meal_freq_per_day,1,1.5
FEDXA08,M,1.0,NR,meal_freq_per_day,2,1.6666666666666667
FEDXA08,M,1.0,NR,meal_freq_per_day,3,1.7083333333333333
FEDXA08,M,1.0,NR,meal_freq_per_day,4,1.1666666666666667
FEDXA08,M,1.0,NR,meal_freq_per_day,5,0.7083333333333334
FEDXA08,M,1.0,NR,meal_freq_per_day,6,0.75
FEDXA08,M,1.0,NR,meal_freq_per_day,7,0.75
FEDXA09,M,1.0,NR,meal_freq_per_day,1,1.375
FEDXA09,M,1.0,NR,meal_freq_per_day,2,1.4166666666666667
FEDXA09,M,1.0,NR,meal_freq_per_day,3,1.375
FEDXA09,M,1.0,NR,meal_freq_per_day,4,1.2916666666666667
FEDXA09,M,1.0,NR,meal_freq_per_day,5,1.5833333333333333
FEDXA09,M,1.0,NR,meal_freq_per_day,6,0.6666666666666666
FEDXA09,M,1.0,NR,meal_freq_per_day,7,1.5416666666666667
FEDXA10,M,1.0,NR,meal_freq_per_day,1,1.3333333333333333
FEDXA10,M,1.0,NR,meal_freq_per_day,2,1.4583333333333333
FEDXA10,M,1.0,NR,meal_freq_per_day,3,1.9583333333333333
FEDXA10,M,1.0,NR,meal_freq_per_day,4,1.4166666666666667
FEDXA10,M,1.0,NR,meal_freq_per_day,5,1.0416666666666667
FEDXA10,M,1.0,NR,meal_freq_per_day,6,1.6666666666666667
FEDXA10,M,1.0,NR,meal_freq_per_day,7,1.0833333333333333
FEDXA11,M,1.0,NR,meal_freq_per_day,1,1.1666666666666667
FEDXA11,M,1.0,NR,meal_freq_per_day,2,1.2916666666666667
FEDXA11,M,1.0,NR,meal_freq_per_day,3,1.5416666666666667
FEDXA11,M,1.0,NR,meal_freq_per_day,4,1.5833333333333333
FEDXA11,M,1.0,NR,meal_freq_per_day,5,1.5833333333333333
FEDXA11,M,1.0,NR,meal_freq_per_day,6,1.25
FEDXA11,M,1.0,NR,meal_freq_per_day,7,1.125
FEDXA12,M,1.0,NR,meal_freq_per_day,1,1.3333333333333333
FEDXA12,M,1.0,NR,meal_freq_per_day,2,1.2916666666666667
FEDXA12,M,1.0,NR,meal_freq_per_day,3,1.625
FEDXA12,M,1.0,NR,meal_freq_per_day,4,1.375
FEDXA12,M,1.0,NR,meal_freq_per_day,5,1.5833333333333333
FEDXA12,M,1.0,NR,meal_freq_per_day,6,1.7916666666666667
FEDXA12,M,1.0,NR,meal_freq_per_day,7,1.9166666666666667
FEDXB01,F,2.0,NR,meal_freq_per_day,1,2.5833333333333335
FEDXB01,F,2.0,NR,meal_freq_per_day,2,1.875
FEDXB01,F,2.0,NR,meal_freq_per_day,3,1.7916666666666667
FEDXB01,F,2.0,NR,meal_freq_per_day,4,1.7916666666666667
FEDXB01,F,2.0,NR,meal_freq_per_day,5,1.4583333333333333
FEDXB01,F,2.0,NR,meal_freq_per_day,6,2.5833333333333335
FEDXB01,F,2.0,NR,meal_freq_per_day,7,2.125
FEDXB02,F,2.0,NR,meal_freq_per_day,1,1.5416666666666667
FEDXB02,F,2.0,NR,meal_freq_per_day,2,1.5833333333333333
FEDXB02,F,2.0,NR,meal_freq_per_day,3,1.3333333333333333
FEDXB02,F,2.0,NR,meal_freq_per_day,4,1.4166666666666667
FEDXB02,F,2.0,NR,meal_freq_per_day,5,0.9583333333333334
FEDXB02,F,2.0,NR,meal_freq_per_day,6,1.8333333333333333
FEDXB02,F,2.0,NR,meal_freq_per_day,7,1.5
FEDXB03,F,2.0,NR,meal_freq_per_day,1,2.5
FEDXB03,F,2.0,NR,meal_freq_per_day,2,2.6666666666666665
FEDXB03,F,2.0,NR,meal_freq_per_day,3,2.4583333333333335
FEDXB03,F,2.0,NR,meal_freq_per_day,4,2.0
FEDXB03,F,2.0,NR,meal_freq_per_day,5,2.0416666666666665
FEDXB03,F,2.0,NR,meal_freq_per_day,6,1.8333333333333333
FEDXB03,F,2.0,NR,meal_freq_per_day,7,1.5
FEDXB04,F,2.0,NR,meal_freq_per_day,1,1.8333333333333333
FEDXB04,F,2.0,NR,meal_freq_per_day,2,1.2083333333333333
FEDXB04,F,2.0,NR,meal_freq_per_day,3,1.3333333333333333
FEDXB04,F,2.0,NR,meal_freq_per_day,4,0.9583333333333334
FEDXB04,F,2.0,NR,meal_freq_per_day,5,0.5416666666666666
FEDXB04,F,2.0,NR,meal_freq_per_day,6,0.9583333333333334
FEDXB04,F,2.0,NR,meal_freq_per_day,7,0.9583333333333334
FEDXB05,F,2.0,NR,meal_freq_per_day,1,1.7083333333333333
FEDXB05,F,2.0,NR,meal_freq_per_day,2,1.9166666666666667
FEDXB05,F,2.0,NR,meal_freq_per_day,3,2.0833333333333335
FEDXB05,F,2.0,NR,meal_freq_per_day,4,1.4166666666666667
FEDXB05,F,2.0,NR,meal_freq_per_day,5,1.3333333333333333
FEDXB05,F,2.0,NR,meal_freq_per_day,6,2.0416666666666665
FEDXB05,F,2.0,NR,meal_freq_per_day,7,1.75
FEDXB06,F,2.0,NR,meal_freq_per_day,1,1.0416666666666667
FEDXB06,F,2.0,NR,meal_freq_per_day,2,2.5
FEDXB06,F,2.0,NR,meal_freq_per_day,3,1.7916666666666667
FEDXB06,F,2.0,NR,meal_freq_per_day,4,2.0
FEDXB06,F,2.0,NR,meal_freq_per_day,5,1.5
FEDXB06,F,2.0,NR,meal_freq_per_day,6,1.75
FEDXB06,F,2.0,NR,meal_freq_per_day,7,1.0833333333333333
FEDXB07,F,1.0,NR,meal_freq_per_day,1,1.125
FEDXB07,F,1.0,NR,meal_freq_per_day,2,1.3333333333333333
FEDXB07,F,1.0,NR,meal_freq_per_day,3,1.2916666666666667
FEDXB07,F,1.0,NR,meal_freq_per_day,4,1.5
FEDXB07,F,1.0,NR,meal_freq_per_day,5,1.75
FEDXB07,F,1.0,NR,meal_freq_per_day,6,1.4583333333333333
FEDXB07,F,1.0,NR,meal_freq_per_day,7,1.0416666666666667
FEDXB08,F,1.0,NR,meal_freq_per_day,1,0.7916666666666666
FEDXB08,F,1.0,NR,meal_freq_per_day,2,0.7083333333333334
FEDXB08,F,1.0,NR,meal_freq_per_day,3,1.0833333333333333
FEDXB08,F,1.0,NR,meal_freq_per_day,4,0.875
FEDXB08,F,1.0,NR,meal_freq_per_day,5,0.625
FEDXB08,F,1.0,NR,meal_freq_per_day,6,0.9583333333333334
FEDXB08,F,1.0,NR,meal_freq_per_day,7,0.4583333333333333
FEDXB10,F,1.0,NR,meal_freq_per_day,1,1.6666666666666667
FEDXB10,F,1.0,NR,meal_freq_per_day,2,1.75
FEDXB10,F,1.0,NR,meal_freq_per_day,3,2.625
FEDXB10,F,1.0,NR,meal_freq_per_day,4,2.1666666666666665
FEDXB10,F,1.0,NR,meal_freq_per_day,5,2.25
FEDXB10,F,1.0,NR,meal_freq_per_day,6,2.25
FEDXB10,F,1.0,NR,meal_freq_per_day,7,2.0
FEDXB11,F,1.0,NR,meal_freq_per_day,1,1.75
FEDXB11,F,1.0,NR,meal_freq_per_day,2,1.7083333333333333
FEDXB11,F,1.0,NR,meal_freq_per_day,3,1.9583333333333333
FEDXB11,F,1.0,NR,meal_freq_per_day,4,1.8333333333333333
FEDXB11,F,1.0,NR,meal_freq_per_day,5,1.7916666666666667
FEDXB11,F,1.0,NR,meal_freq_per_day,6,1.625
FEDXB11,F,1.0,NR,meal_freq_per_day,7,1.7916666666666667
FEDXB12,F,1.0,NR,meal_freq_per_day,1,0.6666666666666666
FEDXB12,F,1.0,NR,meal_freq_per_day,2,0.875
FEDXB12,F,1.0,NR,meal_freq_per_day,3,0.8333333333333334
FEDXB12,F,1.0,NR,meal_freq_per_day,4,0.5833333333333334
FEDXB12,F,1.0,NR,meal_freq_per_day,5,0.8333333333333334
FEDXB12,F,1.0,NR,meal_freq_per_day,6,0.5833333333333334
FEDXB12,F,1.0,NR,meal_freq_per_day,7,0.3333333333333333
FEDXA01,M,2.0,PR,meal_freq_per_day,1,1.5416666666666667
FEDXA01,M,2.0,PR,meal_freq_per_day,2,1.2916666666666667
FEDXA01,M,2.0,PR,meal_freq_per_day,3,1.4583333333333333
FEDXA01,M,2.0,PR,meal_freq_per_day,4,1.125
FEDXA01,M,2.0,PR,meal_freq_per_day,5,1.2083333333333333
FEDXA01,M,2.0,PR,meal_freq_per_day,6,1.375
FEDXA01,M,2.0,PR,meal_freq_per_day,7,1.0416666666666667
FEDXA02,M,2.0,PR,meal_freq_per_day,1,1.625
FEDXA02,M,2.0,PR,meal_freq_per_day,2,1.7083333333333333
FEDXA02,M,2.0,PR,meal_freq_per_day,3,2.375
FEDXA02,M,2.0,PR,meal_freq_per_day,4,2.2083333333333335
FEDXA02,M,2.0,PR,meal_freq_per_day,5,2.0833333333333335
FEDXA02,M,2.0,PR,meal_freq_per_day,6,2.0416666666666665
FEDXA02,M,2.0,PR,meal_freq_per_day,7,1.7916666666666667
FEDXA03,M,2.0,PR,meal_freq_per_day,1,1.7083333333333333
