"contrast","hour","estimate","SE","df","t.ratio","p.value"
"NR F order2 - PR M order2","1",0.0238095238094785,0.164700027350405,247.070802102293,0.144562962086357,1
"PR F order2 - NR M order2","1",-0.500000000000045,0.164700027350405,247.070802102302,-3.03582220381954,0.0743536263933817
"PR F order2 - PR M order2","1",-0.0714285714286166,0.164700027350405,247.070802102302,-0.43368888626017,1
"NR M order2 - PR M order2","1",0.428571428571428,0.143649024731934,892.999999999968,2.98346215277962,0.0790462780202818
"NR F order1 - PR F order1","2",0.0285714285714289,0.157359622418595,892.999999999968,0.181567724504483,1
"NR F order1 - NR M order1","2",-0.0285714285712441,0.17273884597897,247.07080210228,-0.165402451367091,1
"NR F order1 - PR M order1","2",-0.00476190476172063,0.17273884597897,247.07080210228,-0.0275670752269606,1
"NR F order1 - NR F order2","2",-0.0761904761902909,0.17273884597897,247.070802102275,-0.441073203647352,1
"NR F order1 - PR F order2","2",0.0904761904763756,0.17273884597897,247.07080210228,0.523774429333575,1
"NR F order1 - NR M order2","2",-0.123809523809384,0.17273884597897,247.070802102271,-0.716743955927881,1
"NR F order1 - PR M order2","2",-0.123809523809384,0.17273884597897,247.07080210228,-0.716743955927879,1
"PR F order1 - NR M order1","2",-0.057142857142673,0.17273884597897,247.070802102275,-0.330804902735252,1
"PR F order1 - PR M order1","2",-0.0333333333331495,0.17273884597897,247.070802102275,-0.192969526595122,1
"PR F order1 - NR F order2","2",-0.10476190476172,0.17273884597897,247.070802102271,-0.606475655015512,1
"PR F order1 - PR F order2","2",0.0619047619049467,0.172738845978971,247.07080210228,0.358371977965414,1
"PR F order1 - NR M order2","2",-0.152380952380813,0.17273884597897,247.070802102271,-0.882146407296042,1
"PR F order1 - PR M order2","2",-0.152380952380813,0.172738845978971,247.070802102271,-0.882146407296038,1
"NR M order1 - PR M order1","2",0.0238095238095235,0.143649024731934,892.999999999968,0.165747897376644,1
"NR M order1 - NR F order2","2",-0.0476190476190468,0.164700027350405,247.070802102297,-0.289125924173258,1
"NR M order1 - PR F order2","2",0.11904761904762,0.164700027350405,247.070802102297,0.722814810433162,1
"NR M order1 - NR M order2","2",-0.0952380952381399,0.164700027350405,247.070802102288,-0.578251848346799,1
"NR M order1 - PR M order2","2",-0.0952380952381396,0.164700027350405,247.070802102293,-0.578251848346796,1
"PR M order1 - NR F order2","2",-0.0714285714285703,0.164700027350405,247.070802102297,-0.433688886259888,1
"PR M order1 - PR F order2","2",0.0952380952380963,0.164700027350405,247.070802102297,0.578251848346533,1
"PR M order1 - NR M order2","2",-0.119047619047663,0.164700027350405,247.070802102293,-0.722814810433428,1
"PR M order1 - PR M order2","2",-0.119047619047663,0.164700027350405,247.070802102297,-0.722814810433425,1
"NR F order2 - PR F order2","2",0.166666666666667,0.143649024731934,892.999999999968,1.16023528163652,1
"NR F order2 - NR M order2","2",-0.0476190476190932,0.164700027350405,247.070802102293,-0.28912592417354,1
"NR F order2 - PR M order2","2",-0.0476190476190928,0.164700027350405,247.070802102297,-0.289125924173538,1
"PR F order2 - NR M order2","2",-0.21428571428576,0.164700027350405,247.070802102302,-1.30106665877996,1
"PR F order2 - PR M order2","2",-0.214285714285759,0.164700027350405,247.070802102297,-1.30106665877996,1
"NR M order2 - PR M order2","2",3.7470027081099e-16,0.143649024731934,892.999999999968,2.60844284540202e-15,1
"NR F order1 - PR F order1","3",0.0857142857142861,0.157359622418595,892.999999999968,0.544703173513444,1
"NR F order1 - NR M order1","3",-0.290476190476006,0.17273884597897,247.07080210228,-1.68159158890855,1
"NR F order1 - PR M order1","3",0.0904761904763747,0.17273884597897,247.07080210228,0.523774429333571,1
"NR F order1 - NR F order2","3",-0.0761904761902907,0.17273884597897,247.070802102275,-0.44107320364735,1
"NR F order1 - PR F order2","3",0.0904761904763755,0.17273884597897,247.070802102271,0.523774429333575,1
"NR F order1 - NR M order2","3",-0.314285714285574,0.17273884597897,247.070802102271,-1.81942696504894,1
"NR F order1 - PR M order2","3",-0.09999999999986,0.17273884597897,247.070802102271,-0.578908579787747,1
"PR F order1 - NR M order1","3",-0.376190476190292,0.17273884597897,247.07080210228,-2.17779894301303,0.69844778433633
"PR F order1 - PR M order1","3",0.00476190476208865,0.17273884597897,247.07080210228,0.0275670752290911,1
"PR F order1 - NR F order2","3",-0.161904761904577,0.17273884597897,247.070802102275,-0.937280557751829,1
"PR F order1 - PR F order2","3",0.00476190476208946,0.172738845978971,247.07080210228,0.0275670752290957,1
"PR F order1 - NR M order2","3",-0.39999999999986,0.17273884597897,247.070802102271,-2.31563431915342,0.534945226181944
"PR F order1 - PR M order2","3",-0.185714285714146,0.17273884597897,247.070802102267,-1.07511593389223,1
"NR M order1 - PR M order1","3",0.380952380952381,0.143649024731934,892.999999999968,2.65196635802633,0.228041512954658
"NR M order1 - NR F order2","3",0.214285714285716,0.164700027350405,247.070802102297,1.30106665877969,1
"NR M order1 - PR F order2","3",0.380952380952382,0.164700027350405,247.070802102302,2.31300739338611,0.534945226181944
"NR M order1 - NR M order2","3",-0.0238095238095679,0.164700027350405,247.070802102288,-0.144562962086899,1
"NR M order1 - PR M order2","3",0.190476190476146,0.164700027350405,247.070802102293,1.15650369669279,1
"PR M order1 - NR F order2","3",-0.166666666666665,0.164700027350405,247.070802102302,-1.01194073460641,1
"PR M order1 - PR F order2","3",8.04911692853238e-16,0.164700027350405,247.070802102297,4.88713757855523e-15,1
"PR M order1 - NR M order2","3",-0.404761904761949,0.164700027350405,247.070802102293,-2.45757035547301,0.396246954065124
"PR M order1 - PR M order2","3",-0.190476190476235,0.164700027350405,247.070802102288,-1.15650369669332,1
"NR F order2 - PR F order2","3",0.166666666666666,0.143649024731934,892.999999999968,1.16023528163652,1
"NR F order2 - NR M order2","3",-0.238095238095284,0.164700027350405,247.070802102297,-1.44562962086659,1
"NR F order2 - PR M order2","3",-0.0238095238095693,0.164700027350405,247.070802102297,-0.144562962086908,1
"PR F order2 - NR M order2","3",-0.40476190476195,0.164700027350405,247.070802102302,-2.45757035547301,0.396246954065124
