Unnamed: 0,contrast,estimate,SE,df,t.ratio,p.value,Significance,Test Details
318,NR1 F Order1 - NR6 M Order2,-26.56666667,21.1780961,19,-1.254440746,1.0,,"t(19) = -1.254, p = 1.000e+00"
319,NR1 F Order1 - PR0 M Order2,15.76666667,21.16915443,19,0.744794352,1.0,,"t(19) = 0.745, p = 1.000e+00"
320,NR1 F Order1 - PR1 M Order2,23.6,22.66622291,19,1.041196855,1.0,,"t(19) = 1.041, p = 1.000e+00"
321,NR1 F Order1 - PR2 M Order2,-5.4,22.63673333,19,-0.238550321,1.0,,"t(19) = -0.239, p = 1.000e+00"
322,NR1 F Order1 - PR3 M Order2,-25.06666667,22.37039475,19,-1.12052858,1.0,,"t(19) = -1.121, p = 1.000e+00"
323,NR1 F Order1 - PR4 M Order2,-58.4,23.06699625,19,-2.531755734,0.923701447,,"t(19) = -2.532, p = 9.237e-01"
324,NR1 F Order1 - PR5 M Order2,-63.9,22.79831609,19,-2.802838585,0.820855791,,"t(19) = -2.803, p = 8.209e-01"
325,NR1 F Order1 - PR6 M Order2,-84.4,22.59671352,19,-3.735056424,0.324039057,,"t(19) = -3.735, p = 3.240e-01"
326,NR2 F Order1 - NR3 F Order1,8.8,7.869305237,19,1.118268988,1.0,,"t(19) = 1.118, p = 1.000e+00"
327,NR2 F Order1 - NR4 F Order1,-11.6,9.325422713,19,-1.243911441,1.0,,"t(19) = -1.244, p = 1.000e+00"
328,NR2 F Order1 - NR5 F Order1,-8.2,14.62194937,19,-0.560800738,1.0,,"t(19) = -0.561, p = 1.000e+00"
329,NR2 F Order1 - NR6 F Order1,10.6,13.84204122,19,0.76578301,1.0,,"t(19) = 0.766, p = 1.000e+00"
330,NR2 F Order1 - PR0 F Order1,38.0,20.45023914,19,1.85816898,0.998896581,,"t(19) = 1.858, p = 9.989e-01"
331,NR2 F Order1 - PR1 F Order1,-17.2,22.40558358,19,-0.767665789,1.0,,"t(19) = -0.768, p = 1.000e+00"
332,NR2 F Order1 - PR2 F Order1,1.2,20.67767675,19,0.058033599,1.0,,"t(19) = 0.058, p = 1.000e+00"
333,NR2 F Order1 - PR3 F Order1,11.8,16.34200271,19,0.722065723,1.0,,"t(19) = 0.722, p = 1.000e+00"
334,NR2 F Order1 - PR4 F Order1,5.6,16.31984047,19,0.343140609,1.0,,"t(19) = 0.343, p = 1.000e+00"
