,sex,hour,diet,term,group1,group2,null.value,estimate,conf.low,conf.high,p.adj,p.adj.signif,order,mean_pellet_intake,sd_pellet_intake,Comparison,diet_comparison
65,F,16,PR,order,1,2,0,1.28095238095238,-1.98806563039543,4.5499703923002,0.398,ns,1,15.1714285714286,3.33870315774107,NR,No difference
66,M,16,NR,order,1,2,0,5.04761904761905,0.902986889381359,9.19225120585674,0.0218,*,1,14.6428571428571,1.22807298859071,NR,Order 2 more
67,M,16,PR,order,1,2,0,3.26190476190477,0.350283632992278,6.17352589081725,0.0317,*,1,13.9047619047619,2.20512698818313,NR,Order 2 more
68,F,17,NR,order,1,2,0,1.17142857142857,-3.65673436527515,5.99959150813229,0.596,ns,1,13.6857142857143,3.28478247656787,NR,No difference
69,F,17,PR,order,1,2,0,0.728571428571428,-4.4900156006745,5.94715845781735,0.759,ns,1,13.2,3.98159028837597,NR,No difference
70,M,17,NR,order,1,2,0,5.45238095238095,0.906749357580307,9.9980125471816,0.0234,*,1,13.0238095238095,2.96980266872337,NR,Order 2 more
71,M,17,PR,order,1,2,0,3.80952380952381,1.25359212846034,6.36545549058729,0.00773,**,1,12.0714285714286,1.4335627090631,NR,Order 2 more
72,F,18,NR,order,1,2,0,2.07142857142857,-2.70209648074571,6.84495362360285,0.352,ns,1,10.7142857142857,3.82126167859864,PR,No difference
73,F,18,PR,order,1,2,0,-0.280952380952382,-4.78676084211555,4.22485608021078,0.891,ns,1,14.2571428571429,4.09504429220272,PR,No difference
74,M,18,NR,order,1,2,0,2.57142857142857,0.0438428764110772,5.09901426644607,0.0468,*,1,12.3095238095238,1.90255824908371,NR,Order 2 more
75,M,18,PR,order,1,2,0,2.0952380952381,-2.69687870597496,6.88735489645116,0.353,ns,1,11.5952380952381,2.85058771837249,NR,No difference
76,F,19,NR,order,1,2,0,-0.280952380952376,-4.52013668683592,3.95823192493117,0.884,ns,1,9.25714285714286,1.56947931051112,PR,No difference
77,F,19,PR,order,1,2,0,-0.638095238095238,-4.10452011480212,2.82832963861164,0.687,ns,1,10.6857142857143,2.65806435634072,PR,No difference
78,M,19,NR,order,1,2,0,1.11904761904762,-2.06338888963255,4.30148412772779,0.451,ns,1,8.14285714285714,1.81377945692616,PR,No difference
79,M,19,PR,order,1,2,0,2.19047619047619,-1.3432092434003,5.72416162435268,0.197,ns,1,8.23809523809524,2.29403248320803,PR,No difference
80,F,20,NR,order,1,2,0,-1.88571428571429,-5.46129823950348,1.68986966807491,0.263,ns,1,7.31428571428571,2.92491060390165,PR,No difference
81,F,20,PR,order,1,2,0,-2.58571428571428,-6.59115386377747,1.4197252923489,0.178,ns,1,9.8,3.1616322315138,PR,No difference
82,M,20,NR,order,1,2,0,1.78571428571429,-1.16049929177514,4.73192786320372,0.207,ns,1,7.26190476190476,2.33065930352672,PR,No difference
83,M,20,PR,order,1,2,0,-1.19047619047619,-3.63427613142937,1.253323750477,0.303,ns,1,9.11904761904762,1.94079021706795,PR,No difference
84,F,21,NR,order,1,2,0,0.171428571428573,-2.57190462684463,2.91476176970178,0.891,ns,1,5.97142857142857,1.58886431010278,PR,No difference
85,F,21,PR,order,1,2,0,0.271428571428572,-3.93301985222194,4.47587699507909,0.887,ns,1,7.22857142857143,3.32982808896207,PR,No difference
86,M,21,NR,order,1,2,0,0.428571428571427,-2.12229004795075,2.97943290509361,0.716,ns,1,7.23809523809524,1.61792678290148,NR,No difference
87,M,21,PR,order,1,2,0,1.16666666666667,-2.31833900166113,4.65167233499447,0.473,ns,1,6.45238095238095,2.43011155646624,NR,No difference
88,F,22,NR,order,1,2,0,-0.799999999999999,-4.32911160348351,2.72911160348351,0.62,ns,1,9.65714285714286,2.44239761759812,NR,No difference
89,F,22,PR,order,1,2,0,0.785714285714284,-2.03764431977884,3.60907289120741,0.545,ns,1,6.71428571428571,1.60991823851209,NR,No difference
90,M,22,NR,order,1,2,0,2.14285714285714,-0.89061682641566,5.17633111212994,0.147,ns,1,4.95238095238095,1.50011337440022,PR,No difference
91,M,22,PR,order,1,2,0,0.976190476190476,-2.05143282835574,4.00381378073669,0.489,ns,1,6.97619047619048,1.54237205778173,PR,No difference
92,F,23,NR,order,1,2,0,1.93333333333333,-2.31712739596385,6.18379406263052,0.33,ns,1,9.54285714285714,2.8915782005327,PR,No difference
93,F,23,PR,order,1,2,0,0.471428571428575,-3.66445615017205,4.6073132930292,0.802,ns,1,11.1714285714286,4.2945147738548,PR,No difference
94,M,23,NR,order,1,2,0,-0.571428571428571,-3.33822631109822,2.19536916824108,0.655,ns,1,10.6666666666667,1.97673543834204,NR,No difference
95,M,23,PR,order,1,2,0,2.30952380952381,-0.660664776455282,5.2797123955029,0.114,ns,1,7.73809523809524,2.84915550204441,NR,No difference
