mouse_id,sex,order,hour,PR,NR
FEDXA07,M,1.0,21,1.0,0.2857142857142857
FEDXA07,M,1.0,22,1.0,1.2857142857142858
FEDXA07,M,1.0,23,1.2857142857142858,2.0
FEDXA08,M,1.0,0,1.1428571428571428,1.2857142857142858
FEDXA08,M,1.0,1,0.5714285714285714,1.5714285714285714
FEDXA08,M,1.0,2,1.2857142857142858,0.8571428571428571
FEDXA08,M,1.0,3,1.0,0.8571428571428571
FEDXA08,M,1.0,4,0.5714285714285714,1.0
FEDXA08,M,1.0,5,0.7142857142857143,0.5714285714285714
FEDXA08,M,1.0,6,0.5714285714285714,0.14285714285714285
FEDXA08,M,1.0,7,0.42857142857142855,0.5714285714285714
FEDXA08,M,1.0,8,0.2857142857142857,0.14285714285714285
FEDXA08,M,1.0,9,0.7142857142857143,0.5714285714285714
FEDXA08,M,1.0,10,0.14285714285714285,0.2857142857142857
FEDXA08,M,1.0,11,0.5714285714285714,0.0
FEDXA08,M,1.0,12,0.5714285714285714,0.7142857142857143
FEDXA08,M,1.0,13,2.0,2.0
FEDXA08,M,1.0,14,1.4285714285714286,3.5714285714285716
FEDXA08,M,1.0,15,0.8571428571428571,2.5714285714285716
FEDXA08,M,1.0,16,1.2857142857142858,2.142857142857143
FEDXA08,M,1.0,17,0.7142857142857143,1.4285714285714286
FEDXA08,M,1.0,18,1.1428571428571428,2.4285714285714284
FEDXA08,M,1.0,19,0.7142857142857143,0.8571428571428571
FEDXA08,M,1.0,20,0.42857142857142855,1.1428571428571428
FEDXA08,M,1.0,21,0.5714285714285714,1.4285714285714286
FEDXA08,M,1.0,22,1.1428571428571428,0.8571428571428571
FEDXA08,M,1.0,23,1.0,1.8571428571428572
FEDXA09,M,1.0,0,1.5714285714285714,1.0
FEDXA09,M,1.0,1,1.1428571428571428,1.1428571428571428
FEDXA09,M,1.0,2,1.4285714285714286,1.0
FEDXA09,M,1.0,3,1.2857142857142858,0.42857142857142855
FEDXA09,M,1.0,4,0.7142857142857143,0.8571428571428571
FEDXA09,M,1.0,5,0.5714285714285714,0.14285714285714285
FEDXA09,M,1.0,6,0.42857142857142855,0.14285714285714285
FEDXA09,M,1.0,7,0.42857142857142855,0.5714285714285714
FEDXA09,M,1.0,8,0.8571428571428571,0.2857142857142857
FEDXA09,M,1.0,9,0.2857142857142857,0.7142857142857143
FEDXA09,M,1.0,10,0.5714285714285714,0.42857142857142855
FEDXA09,M,1.0,11,1.0,0.42857142857142855
FEDXA09,M,1.0,12,1.7142857142857142,1.1428571428571428
FEDXA09,M,1.0,13,4.428571428571429,2.5714285714285716
FEDXA09,M,1.0,14,5.428571428571429,3.142857142857143
FEDXA09,M,1.0,15,4.571428571428571,2.142857142857143
FEDXA09,M,1.0,16,4.285714285714286,2.2857142857142856
FEDXA09,M,1.0,17,2.7142857142857144,2.5714285714285716
FEDXA09,M,1.0,18,3.7142857142857144,2.0
FEDXA09,M,1.0,19,1.5714285714285714,2.0
FEDXA09,M,1.0,20,1.7142857142857142,1.0
FEDXA09,M,1.0,21,1.2857142857142858,2.142857142857143
FEDXA09,M,1.0,22,1.4285714285714286,0.5714285714285714
FEDXA09,M,1.0,23,2.2857142857142856,3.142857142857143
FEDXA10,M,1.0,0,0.5714285714285714,1.0
