"sex","order","diet","term","group1","group2","null.value","estimate","conf.low","conf.high","p.adj","p.adj.signif"
"F","1","NR","hour","8","22",0,0.971428571428571,-1.12021042828701,3.06306757114416,0.986,"ns"
"F","1","NR","hour","8","23",0,0.971428571428571,-1.12021042828701,3.06306757114416,0.986,"ns"
"F","1","NR","hour","9","10",0,0.0857142857142856,-2.0059247140013,2.17735328542987,1,"ns"
"F","1","NR","hour","9","11",0,0.285714285714286,-1.8059247140013,2.37735328542987,1,"ns"
"F","1","NR","hour","9","12",0,0.714285714285714,-1.37735328542987,2.8059247140013,1,"ns"
"F","1","NR","hour","9","13",0,1.71428571428571,-0.37735328542987,3.8059247140013,0.275,"ns"
"F","1","NR","hour","9","14",0,1.8,-0.291638999715586,3.89163899971558,0.197,"ns"
"F","1","NR","hour","9","15",0,1.94285714285714,-0.148781856858443,4.03449614257273,0.105,"ns"
"F","1","NR","hour","9","16",0,1.57142857142857,-0.520210428287013,3.66306757114416,0.44,"ns"
"F","1","NR","hour","9","17",0,1.42857142857143,-0.663067571144156,3.52021042828701,0.63,"ns"
"F","1","NR","hour","9","18",0,0.571428571428572,-1.52021042828701,2.66306757114416,1,"ns"
"F","1","NR","hour","9","19",0,0.657142857142858,-1.43449614257273,2.74878185685844,1,"ns"
"F","1","NR","hour","9","20",0,0.571428571428572,-1.52021042828701,2.66306757114416,1,"ns"
"F","1","NR","hour","9","21",0,0.314285714285715,-1.77735328542987,2.4059247140013,1,"ns"
"F","1","NR","hour","9","22",0,0.914285714285714,-1.17735328542987,3.0059247140013,0.993,"ns"
"F","1","NR","hour","9","23",0,0.914285714285714,-1.17735328542987,3.0059247140013,0.993,"ns"
"F","1","NR","hour","10","11",0,0.2,-1.89163899971558,2.29163899971558,1,"ns"
"F","1","NR","hour","10","12",0,0.628571428571429,-1.46306757114416,2.72021042828701,1,"ns"
"F","1","NR","hour","10","13",0,1.62857142857143,-0.463067571144156,3.72021042828701,0.37,"ns"
"F","1","NR","hour","10","14",0,1.71428571428571,-0.377353285429872,3.8059247140013,0.275,"ns"
"F","1","NR","hour","10","15",0,1.85714285714286,-0.234496142572728,3.94878185685844,0.155,"ns"
"F","1","NR","hour","10","16",0,1.48571428571429,-0.605924714001299,3.57735328542987,0.554,"ns"
"F","1","NR","hour","10","17",0,1.34285714285714,-0.748781856858441,3.43449614257273,0.74,"ns"
"F","1","NR","hour","10","18",0,0.485714285714286,-1.6059247140013,2.57735328542987,1,"ns"
"F","1","NR","hour","10","19",0,0.571428571428572,-1.52021042828701,2.66306757114416,1,"ns"
"F","1","NR","hour","10","20",0,0.485714285714286,-1.6059247140013,2.57735328542987,1,"ns"
"F","1","NR","hour","10","21",0,0.228571428571429,-1.86306757114416,2.32021042828701,1,"ns"
"F","1","NR","hour","10","22",0,0.828571428571429,-1.26306757114416,2.92021042828701,0.998,"ns"
"F","1","NR","hour","10","23",0,0.828571428571429,-1.26306757114416,2.92021042828701,0.998,"ns"
"F","1","NR","hour","11","12",0,0.428571428571428,-1.66306757114416,2.52021042828701,1,"ns"
"F","1","NR","hour","11","13",0,1.42857142857143,-0.663067571144156,3.52021042828701,0.63,"ns"
"F","1","NR","hour","11","14",0,1.51428571428571,-0.577353285429872,3.6059247140013,0.515,"ns"
"F","1","NR","hour","11","15",0,1.65714285714286,-0.434496142572729,3.74878185685844,0.336,"ns"
"F","1","NR","hour","11","16",0,1.28571428571429,-0.8059247140013,3.37735328542987,0.804,"ns"
"F","1","NR","hour","11","17",0,1.14285714285714,-0.948781856858442,3.23449614257273,0.924,"ns"
"F","1","NR","hour","11","18",0,0.285714285714285,-1.8059247140013,2.37735328542987,1,"ns"
"F","1","NR","hour","11","19",0,0.371428571428572,-1.72021042828701,2.46306757114416,1,"ns"
"F","1","NR","hour","11","20",0,0.285714285714286,-1.8059247140013,2.37735328542987,1,"ns"
"F","1","NR","hour","11","21",0,0.0285714285714286,-2.06306757114416,2.12021042828701,1,"ns"
"F","1","NR","hour","11","22",0,0.628571428571428,-1.46306757114416,2.72021042828701,1,"ns"
"F","1","NR","hour","11","23",0,0.628571428571428,-1.46306757114416,2.72021042828701,1,"ns"
"F","1","NR","hour","12","13",0,1,-1.09163899971558,3.09163899971558,0.98,"ns"
"F","1","NR","hour","12","14",0,1.08571428571428,-1.0059247140013,3.17735328542987,0.953,"ns"
"F","1","NR","hour","12","15",0,1.22857142857143,-0.863067571144157,3.32021042828701,0.86,"ns"
"F","1","NR","hour","12","16",0,0.857142857142857,-1.23449614257273,2.94878185685844,0.997,"ns"
"F","1","NR","hour","12","17",0,0.714285714285715,-1.37735328542987,2.8059247140013,1,"ns"
"F","1","NR","hour","12","18",0,-0.142857142857143,-2.23449614257273,1.94878185685844,1,"ns"
"F","1","NR","hour","12","19",0,-0.0571428571428567,-2.14878185685844,2.03449614257273,1,"ns"
"F","1","NR","hour","12","20",0,-0.142857142857142,-2.23449614257273,1.94878185685844,1,"ns"
"F","1","NR","hour","12","21",0,-0.4,-2.49163899971558,1.69163899971558,1,"ns"
"F","1","NR","hour","12","22",0,0.2,-1.89163899971558,2.29163899971558,1,"ns"
"F","1","NR","hour","12","23",0,0.2,-1.89163899971558,2.29163899971558,1,"ns"
"F","1","NR","hour","13","14",0,0.0857142857142841,-2.0059247140013,2.17735328542987,1,"ns"
"F","1","NR","hour","13","15",0,0.228571428571427,-1.86306757114416,2.32021042828701,1,"ns"
"F","1","NR","hour","13","16",0,-0.142857142857143,-2.23449614257273,1.94878185685844,1,"ns"
"F","1","NR","hour","13","17",0,-0.285714285714286,-2.37735328542987,1.8059247140013,1,"ns"
"F","1","NR","hour","13","18",0,-1.14285714285714,-3.23449614257273,0.948781856858442,0.924,"ns"
"F","1","NR","hour","13","19",0,-1.05714285714286,-3.14878185685844,1.03449614257273,0.964,"ns"
"F","1","NR","hour","13","20",0,-1.14285714285714,-3.23449614257273,0.948781856858442,0.924,"ns"
"F","1","NR","hour","13","21",0,-1.4,-3.49163899971558,0.691638999715585,0.668,"ns"
"F","1","NR","hour","13","22",0,-0.8,-2.89163899971558,1.29163899971558,0.999,"ns"
"F","1","NR","hour","13","23",0,-0.8,-2.89163899971558,1.29163899971558,0.999,"ns"
"F","1","NR","hour","14","15",0,0.142857142857143,-1.94878185685844,2.23449614257273,1,"ns"
"F","1","NR","hour","14","16",0,-0.228571428571427,-2.32021042828701,1.86306757114416,1,"ns"
"F","1","NR","hour","14","17",0,-0.37142857142857,-2.46306757114415,1.72021042828701,1,"ns"
"F","1","NR","hour","14","18",0,-1.22857142857143,-3.32021042828701,0.863067571144158,0.86,"ns"
"F","1","NR","hour","14","19",0,-1.14285714285714,-3.23449614257273,0.948781856858444,0.924,"ns"
"F","1","NR","hour","14","20",0,-1.22857142857143,-3.32021042828701,0.863067571144158,0.86,"ns"
"F","1","NR","hour","14","21",0,-1.48571428571428,-3.57735328542987,0.605924714001301,0.554,"ns"
"F","1","NR","hour","14","22",0,-0.885714285714284,-2.97735328542987,1.2059247140013,0.996,"ns"
"F","1","NR","hour","14","23",0,-0.885714285714284,-2.97735328542987,1.2059247140013,0.996,"ns"
"F","1","NR","hour","15","16",0,-0.371428571428571,-2.46306757114416,1.72021042828701,1,"ns"
"F","1","NR","hour","15","17",0,-0.514285714285713,-2.6059247140013,1.57735328542987,1,"ns"
"F","1","NR","hour","15","18",0,-1.37142857142857,-3.46306757114415,0.720210428287014,0.705,"ns"
"F","1","NR","hour","15","19",0,-1.28571428571428,-3.37735328542987,0.8059247140013,0.804,"ns"
"F","1","NR","hour","15","20",0,-1.37142857142857,-3.46306757114415,0.720210428287015,0.705,"ns"
"F","1","NR","hour","15","21",0,-1.62857142857143,-3.72021042828701,0.463067571144157,0.37,"ns"
"F","1","NR","hour","15","22",0,-1.02857142857143,-3.12021042828701,1.06306757114416,0.973,"ns"
"F","1","NR","hour","15","23",0,-1.02857142857143,-3.12021042828701,1.06306757114416,0.973,"ns"
"F","1","NR","hour","16","17",0,-0.142857142857142,-2.23449614257273,1.94878185685844,1,"ns"
"F","1","NR","hour","16","18",0,-1,-3.09163899971558,1.09163899971558,0.98,"ns"
"F","1","NR","hour","16","19",0,-0.914285714285714,-3.0059247140013,1.17735328542987,0.993,"ns"
"F","1","NR","hour","16","20",0,-0.999999999999999,-3.09163899971558,1.09163899971559,0.98,"ns"
"F","1","NR","hour","16","21",0,-1.25714285714286,-3.34878185685844,0.834496142572728,0.833,"ns"
"F","1","NR","hour","16","22",0,-0.657142857142857,-2.74878185685844,1.43449614257273,1,"ns"
"F","1","NR","hour","16","23",0,-0.657142857142857,-2.74878185685844,1.43449614257273,1,"ns"
"F","1","NR","hour","17","18",0,-0.857142857142857,-2.94878185685844,1.23449614257273,0.997,"ns"
"F","1","NR","hour","17","19",0,-0.771428571428571,-2.86306757114416,1.32021042828701,0.999,"ns"
"F","1","NR","hour","17","20",0,-0.857142857142857,-2.94878185685844,1.23449614257273,0.997,"ns"
"F","1","NR","hour","17","21",0,-1.11428571428571,-3.2059247140013,0.97735328542987,0.94,"ns"
"F","1","NR","hour","17","22",0,-0.514285714285715,-2.6059247140013,1.57735328542987,1,"ns"
"F","1","NR","hour","17","23",0,-0.514285714285715,-2.6059247140013,1.57735328542987,1,"ns"
"F","1","NR","hour","18","19",0,0.0857142857142861,-2.0059247140013,2.17735328542987,1,"ns"
"F","1","NR","hour","18","20",0,4.44089209850063e-16,-2.09163899971558,2.09163899971559,1,"ns"
"F","1","NR","hour","18","21",0,-0.257142857142857,-2.34878185685844,1.83449614257273,1,"ns"
"F","1","NR","hour","18","22",0,0.342857142857143,-1.74878185685844,2.43449614257273,1,"ns"
"F","1","NR","hour","18","23",0,0.342857142857143,-1.74878185685844,2.43449614257273,1,"ns"
"F","1","NR","hour","19","20",0,-0.0857142857142856,-2.17735328542987,2.0059247140013,1,"ns"
"F","1","NR","hour","19","21",0,-0.342857142857143,-2.43449614257273,1.74878185685844,1,"ns"
"F","1","NR","hour","19","22",0,0.257142857142857,-1.83449614257273,2.34878185685844,1,"ns"
"F","1","NR","hour","19","23",0,0.257142857142857,-1.83449614257273,2.34878185685844,1,"ns"
"F","1","NR","hour","20","21",0,-0.257142857142857,-2.34878185685844,1.83449614257273,1,"ns"
"F","1","NR","hour","20","22",0,0.342857142857142,-1.74878185685844,2.43449614257273,1,"ns"
"F","1","NR","hour","20","23",0,0.342857142857142,-1.74878185685844,2.43449614257273,1,"ns"
"F","1","NR","hour","21","22",0,0.6,-1.49163899971559,2.69163899971558,1,"ns"
"F","1","NR","hour","21","23",0,0.6,-1.49163899971559,2.69163899971558,1,"ns"
"F","1","NR","hour","22","23",0,0,-2.09163899971558,2.09163899971558,1,"ns"
"F","1","PR","hour","0","1",0,-1.54285714285714,-3.94387372931037,0.858159443596089,0.738,"ns"
