"sex","order","hour","Effect","DFn","DFd","F","p","p<.05","ges","p.adj"
"F","2","12","diet",1,10,2.764,0.127,"",0.217,1
"F","2","13","diet",1,10,0.194,0.669,"",0.019,1
"F","2","14","diet",1,10,3.123,0.108,"",0.238,1
"F","2","15","diet",1,10,5.61,0.039,"*",0.359,1
"F","2","16","diet",1,10,6.125,0.033,"*",0.38,1
"F","2","17","diet",1,10,1.907,0.197,"",0.16,1
"F","2","18","diet",1,10,5.275,0.045,"*",0.345,1
"F","2","19","diet",1,10,4.333,0.064,"",0.302,1
"F","2","20","diet",1,10,1.576,0.238,"",0.136,1
"F","2","21","diet",1,10,5.69,0.038,"*",0.363,1
"F","2","22","diet",1,10,0.09,0.771,"",0.009,1
"F","2","23","diet",1,10,5.833,0.036,"*",0.368,1
"M","2","0","diet",1,10,3.327,0.098,"",0.25,1
"M","2","1","diet",1,10,18.523,0.002,"*",0.649,0.192
"M","2","2","diet",1,10,0.702,0.422,"",0.066,1
"M","2","3","diet",1,10,0.37,0.557,"",0.036,1
"M","2","4","diet",1,10,1.786,0.211,"",0.152,1
"M","2","5","diet",1,10,5.548,0.04,"*",0.357,1
"M","2","6","diet",1,10,13.333,0.004,"*",0.571,0.376
"M","2","7","diet",1,10,13.235,0.005,"*",0.57,0.465
"M","2","8","diet",1,10,0.085,0.777,"",0.008,1
"M","2","9","diet",1,10,4.821,0.053,"",0.325,1
"M","2","10","diet",1,10,8.305,0.016,"*",0.454,1
"M","2","11","diet",1,10,2.738,0.129,"",0.215,1
"M","2","12","diet",1,10,3.684,0.084,"",0.269,1
"M","2","13","diet",1,10,0.04,0.846,"",0.004,1
"M","2","14","diet",1,10,3.46,0.093,"",0.257,1
"M","2","15","diet",1,10,7.983,0.018,"*",0.444,1
"M","2","16","diet",1,10,18.347,0.002,"*",0.647,0.192
"M","2","17","diet",1,10,7.699,0.02,"*",0.435,1
"M","2","18","diet",1,10,7.175,0.023,"*",0.418,1
"M","2","19","diet",1,10,10.272,0.009,"*",0.507,0.81
"M","2","20","diet",1,10,11.543,0.007,"*",0.536,0.637
"M","2","21","diet",1,10,8.596,0.015,"*",0.462,1
"M","2","22","diet",1,10,6.833,0.026,"*",0.406,1
"M","2","23","diet",1,10,7.145,0.023,"*",0.417,1
