"contrast","estimate","SE","df","t.ratio","p.value","contrast_pretty"
"NR X5 Order1 - PR X5 Order1",-0.0821897582727269,0.143876330605941,21,-0.571252810845131,1,"NANA OrderNA - NANA OrderNA"
"NR X5 Order1 - NR X6 Order1",0.0855308562727277,0.111494882723766,21,0.767128088601468,1,"NANA OrderNA - NANA OrderNA"
"NR X5 Order1 - PR X6 Order1",-0.0890124913636361,0.112413413470428,21,-0.791831585000769,1,"NANA OrderNA - NANA OrderNA"
"NR X5 Order1 - NR X0 Order2",0.0764538882121215,0.184443304592171,21,0.414511594124662,1,"NANA OrderNA - NANA OrderNA"
"NR X5 Order1 - PR X0 Order2",-0.501685738204545,0.216016326147145,21,-2.32244361874208,1,"NANA OrderNA - NANA OrderNA"
"NR X5 Order1 - NR X1 Order2",0.0866617056287879,0.191535955951709,21,0.452456590712593,1,"NANA OrderNA - NANA OrderNA"
"NR X5 Order1 - PR X1 Order2",-0.764945564704545,0.228643166772983,21,-3.34558681766357,0.944057852361452,"NANA OrderNA - NANA OrderNA"
"NR X5 Order1 - NR X2 Order2",0.258580524212121,0.253809529558776,21,1.01879753948419,1,"NANA OrderNA - NANA OrderNA"
"NR X5 Order1 - PR X2 Order2",-0.853890731371212,0.209190980214246,21,-4.08187164903902,0.180040939937468,"NANA OrderNA - NANA OrderNA"
"NR X5 Order1 - NR X3 Order2",0.116568283045455,0.2057603135885,21,0.566524617952225,1,"NANA OrderNA - NANA OrderNA"
"NR X5 Order1 - PR X3 Order2",-0.824105432371212,0.195995195320361,21,-4.20472262610408,0.136597630637684,"NANA OrderNA - NANA OrderNA"
"NR X5 Order1 - NR X4 Order2",0.116751104962121,0.17021678220224,21,0.685896557622655,1,"NANA OrderNA - NANA OrderNA"
"NR X5 Order1 - PR X4 Order2",-0.613425929621212,0.196361361142486,21,-3.12396454196551,1,"NANA OrderNA - NANA OrderNA"
"NR X5 Order1 - NR X5 Order2",0.201397239795454,0.187193247000546,21,1.07587876711635,1,"NANA OrderNA - NANA OrderNA"
"NR X5 Order1 - PR X5 Order2",-0.345255895121212,0.20216202852181,21,-1.70781772247583,1,"NANA OrderNA - NANA OrderNA"
"NR X5 Order1 - NR X6 Order2",0.112266434295455,0.176042517846639,21,0.637723407212664,1,"NANA OrderNA - NANA OrderNA"
"NR X5 Order1 - PR X6 Order2",-0.200342987704545,0.20375197040171,21,-0.983268958378936,1,"NANA OrderNA - NANA OrderNA"
"PR X5 Order1 - NR X6 Order1",0.167720614545455,0.152139495175842,21,1.10241337630051,1,"NANA OrderNA - NANA OrderNA"
"PR X5 Order1 - PR X6 Order1",-0.00682273309090914,0.0983456296530607,21,-0.0693750511840544,1,"NANA OrderNA - NANA OrderNA"
"PR X5 Order1 - NR X0 Order2",0.158643646484848,0.200941137319327,21,0.789503078370351,1,"NANA OrderNA - NANA OrderNA"
"PR X5 Order1 - PR X0 Order2",-0.419495979931818,0.230263026168802,21,-1.82181215504522,1,"NANA OrderNA - NANA OrderNA"
"PR X5 Order1 - NR X1 Order2",0.168851463901515,0.207470553285616,21,0.813857490749853,1,"NANA OrderNA - NANA OrderNA"
"PR X5 Order1 - PR X1 Order2",-0.682755806431818,0.24214810709622,21,-2.81957936660855,1,"NANA OrderNA - NANA OrderNA"
"PR X5 Order1 - NR X2 Order2",0.340770282484848,0.266040007053735,21,1.28089863723398,1,"NANA OrderNA - NANA OrderNA"
"PR X5 Order1 - PR X2 Order2",-0.771700973098485,0.223872450876166,21,-3.44705643806682,0.768127895887932,"NANA OrderNA - NANA OrderNA"
"PR X5 Order1 - NR X3 Order2",0.198758041318182,0.220670149105723,21,0.900701984947482,1,"NANA OrderNA - NANA OrderNA"
"PR X5 Order1 - PR X3 Order2",-0.741915674098485,0.211594245306839,21,-3.5063130995014,0.674366191580719,"NANA OrderNA - NANA OrderNA"
"PR X5 Order1 - NR X4 Order2",0.198940863234848,0.187967446653906,21,1.0583793458723,1,"NANA OrderNA - NANA OrderNA"
"PR X5 Order1 - PR X4 Order2",-0.531236171348485,0.211933461746923,21,-2.50661772317414,1,"NANA OrderNA - NANA OrderNA"
"PR X5 Order1 - NR X5 Order2",0.283586998068181,0.203468227939676,21,1.39376550796058,1,"NANA OrderNA - NANA OrderNA"
"PR X5 Order1 - PR X5 Order2",-0.263066136848485,0.21731887592742,21,-1.21050753518688,1,"NANA OrderNA - NANA OrderNA"
"PR X5 Order1 - NR X6 Order2",0.194456192568182,0.193258832005393,21,1.00619563178751,1,"NANA OrderNA - NANA OrderNA"
