Mouse_ID,Order,Sex,Diet_Phase,Current_Size,Next_Size,Time_Gap
FEDXA01,2,M,PR,1,2,4.533333333333303
FEDXA01,2,M,PR,2,4,56.98333333333335
FEDXA01,2,M,PR,4,1,3.050000000000182
FEDXA01,2,M,PR,1,2,24.549999999999955
FEDXA01,2,M,PR,2,1,2.716666666666697
FEDXA01,2,M,PR,1,2,2.8666666666665606
FEDXA01,2,M,PR,2,4,16.38333333333344
FEDXA01,2,M,PR,4,1,9.183333333333167
FEDXA01,2,M,PR,1,1,12.166666666666742
FEDXA01,2,M,PR,1,1,8.583333333333258
FEDXA01,2,M,PR,1,1,1.7666666666666515
FEDXA01,2,M,PR,1,3,1.0666666666668334
FEDXA01,2,M,PR,3,2,15.599999999999909
FEDXA01,2,M,PR,2,2,5.133333333333439
FEDXA01,2,M,PR,2,1,8.366666667
FEDXA01,2,M,PR,1,2,53.33333333333326
FEDXA01,2,M,PR,2,3,3.8166666666668334
FEDXA01,2,M,PR,3,2,3.099999999999909
FEDXA01,2,M,PR,2,5,104.2833333333333
FEDXA01,2,M,PR,5,1,2.466666666666697
FEDXA01,2,M,PR,1,1,25.950000000000045
FEDXA01,2,M,PR,1,2,5.0499999999999545
FEDXA01,2,M,PR,2,6,95.04999999999995
FEDXA01,2,M,PR,6,1,2.3500000000001364
FEDXA01,2,M,PR,1,1,2.566666666666606
FEDXA01,2,M,PR,1,1,1.0499999999999545
FEDXA01,2,M,PR,5,1,92.93333333
FEDXA01,2,M,PR,1,1,3.3999999999998636
FEDXA01,2,M,PR,1,3,7.300000000000182
FEDXA01,2,M,PR,3,2,7.066666666666606
FEDXA01,2,M,PR,2,5,80.93333333
FEDXA01,2,M,PR,5,1,58.63333333333321
FEDXA01,2,M,PR,1,1,3.166666666666515
FEDXA01,2,M,PR,1,4,26.333333333333485
FEDXA01,2,M,PR,4,3,25.666666666666515
FEDXA01,2,M,PR,3,1,3.316666666667061
FEDXA01,2,M,PR,1,1,4.716666666666242
FEDXA01,2,M,PR,1,1,9.116666666666788
FEDXA01,2,M,PR,1,1,13.066666666666606
FEDXA01,2,M,PR,1,1,6.266666666666879
FEDXA01,2,M,PR,1,1,2.549999999999727
FEDXA01,2,M,PR,1,1,17.01666666666688
FEDXA01,2,M,PR,1,2,4.283333333333303
FEDXA01,2,M,PR,2,1,8.116666666666788
FEDXA01,2,M,PR,1,2,8.216666666666697
FEDXA01,2,M,PR,2,1,11.233333333333121
FEDXA01,2,M,PR,1,1,5.316666666666606
FEDXA01,2,M,PR,1,1,4.050000000000182
FEDXA01,2,M,PR,1,2,10.5
FEDXA01,2,M,PR,2,1,11.800000000000182
FEDXA01,2,M,PR,1,1,7.683333333332939
FEDXA01,2,M,PR,1,1,2.600000000000364
FEDXA01,2,M,PR,1,3,9.516666666666424
FEDXA01,2,M,PR,3,1,7.116666666666788
FEDXA01,2,M,PR,1,3,9.283333333333303
FEDXA01,2,M,PR,3,1,8.266666666666424
FEDXA01,2,M,PR,1,1,5.150000000000091
FEDXA01,2,M,PR,1,1,3.916666667
FEDXA01,2,M,PR,1,1,10.016666666666424
FEDXA01,2,M,PR,1,2,4.200000000000273
FEDXA01,2,M,PR,2,2,9
FEDXA01,2,M,PR,2,1,7.383333333333212
FEDXA01,2,M,PR,1,2,4.033333333333303
FEDXA01,2,M,PR,2,4,9.75
FEDXA01,2,M,PR,4,1,2.049999999999727
FEDXA01,2,M,PR,1,1,7.216666666666697
FEDXA01,2,M,PR,1,1,50.26666666666688
FEDXA01,2,M,PR,1,2,5.199999999999818
FEDXA01,2,M,PR,2,1,1.7333333333335759
FEDXA01,2,M,PR,1,2,2.866666666666788
FEDXA01,2,M,PR,2,1,5.116666666666333
FEDXA01,2,M,PR,1,1,13.066666666666606
FEDXA01,2,M,PR,1,3,1.75
FEDXA01,2,M,PR,3,1,14.700000000000273
FEDXA01,2,M,PR,1,1,5.383333333333212
FEDXA01,2,M,PR,1,1,5.183333333333394
FEDXA01,2,M,PR,1,3,4.816666666666606
FEDXA01,2,M,PR,3,1,12.033333333333303
FEDXA01,2,M,PR,1,2,8.883333333333212
FEDXA01,2,M,PR,2,5,69.13333333333367
FEDXA01,2,M,PR,5,2,2.75
FEDXA01,2,M,PR,2,4,1.9833333333331211
FEDXA01,2,M,PR,4,1,3.150000000000091
FEDXA01,2,M,PR,1,5,72.61666666666679
FEDXA01,2,M,PR,5,1,13.916666666666515
FEDXA01,2,M,PR,1,1,14.966666666666697
FEDXA01,2,M,PR,1,1,4.900000000000091
FEDXA01,2,M,PR,1,3,7.533333333333303
FEDXA01,2,M,PR,3,2,20.383333333333212
FEDXA01,2,M,PR,2,4,39.13333333333321
FEDXA01,2,M,PR,4,2,27.083333333333485
FEDXA01,2,M,PR,2,1,1.466666666666697
FEDXA01,2,M,PR,1,2,29.633333333333212
FEDXA01,2,M,PR,2,1,12.400000000000091
FEDXA01,2,M,PR,1,1,3.550000000000182
FEDXA01,2,M,PR,1,2,4.666666666666515
FEDXA01,2,M,PR,2,7,55.11666666666679
FEDXA01,2,M,PR,7,1,3.649999999999636
FEDXA01,2,M,PR,1,1,1.183333333333394
FEDXA01,2,M,PR,1,1,9.300000000000182
FEDXA01,2,M,PR,1,1,10.833333333333485
FEDXA01,2,M,PR,1,2,2.949999999999818
FEDXA01,2,M,PR,2,6,88.51666666666688
FEDXA01,2,M,PR,6,2,63.516666666666424
FEDXA01,2,M,PR,2,2,6.816666666666606
FEDXA01,2,M,PR,2,3,4.416666667
FEDXA01,2,M,PR,3,1,1.883333333333212
FEDXA01,2,M,PR,1,5,116.15000000000009
FEDXA01,2,M,PR,5,1,2.683333333332939
FEDXA01,2,M,PR,1,6,124.5
FEDXA01,2,M,PR,6,3,85.80000000000018
FEDXA01,2,M,PR,3,2,68.28333333
FEDXA01,2,M,PR,2,1,2.066666666666606
FEDXA01,2,M,PR,1,5,54.40000000000009
FEDXA01,2,M,PR,5,4,38.233333333333576
FEDXA01,2,M,PR,4,1,16.283333333333303
FEDXA01,2,M,PR,1,2,7.299999999999727
FEDXA01,2,M,PR,2,1,7.516666666666879
FEDXA01,2,M,PR,1,2,6.066666666666606
FEDXA01,2,M,PR,2,1,7.133333333333212
FEDXA01,2,M,PR,1,1,4.900000000000091
FEDXA01,2,M,PR,1,2,2.349999999999909
FEDXA01,2,M,PR,2,1,20.200000000000273
FEDXA01,2,M,PR,1,1,11.383333333333212
FEDXA01,2,M,PR,1,1,4.949999999999818
FEDXA01,2,M,PR,1,1,13.633333333333212
FEDXA01,2,M,PR,1,5,2.600000000000364
FEDXA01,2,M,PR,5,1,6.949999999999818
FEDXA01,2,M,PR,1,1,4.066666666666606
FEDXA01,2,M,PR,1,1,8.450000000000273
FEDXA01,2,M,PR,1,1,8.133333333333212
FEDXA01,2,M,PR,1,4,6.25
FEDXA01,2,M,PR,4,1,10.883333333333212
FEDXA01,2,M,PR,1,1,9.983333333333576
FEDXA01,2,M,PR,1,1,3.75
FEDXA01,2,M,PR,1,1,1.783333333333303
FEDXA01,2,M,PR,1,1,1.7999999999997272
FEDXA01,2,M,PR,1,1,7.016666666666879
FEDXA01,2,M,PR,1,1,6.799999999999727
FEDXA01,2,M,PR,1,1,2.466666666666697
