contrast,hour,estimate,SE,df,t.ratio,p.value
PR M order1 - NR M order2,1,1.119047619,1.35382891,623.9677394,0.826579792,1
PR M order1 - PR M order2,1,0.404761905,1.35382891,623.9677394,0.29897567,1
NR F order2 - PR F order2,1,0.904761905,1.28499414,893,0.704098079,1
NR F order2 - NR M order2,1,-2.904761905,1.35382891,623.9677394,-2.145590099,0.452072564
NR F order2 - PR M order2,1,-3.619047619,1.35382891,623.9677394,-2.673194222,0.146486342
PR F order2 - NR M order2,1,-3.80952381,1.35382891,623.9677394,-2.813888654,0.106025921
PR F order2 - PR M order2,1,-4.523809524,1.35382891,623.9677394,-3.341492777,0.023842476
NR M order2 - PR M order2,1,-0.714285714,1.28499414,893,-0.555866904,1
NR F order1 - PR F order1,2,-0.571428571,1.407640553,893,-0.40594779,1
NR F order1 - NR M order1,2,1.528571429,1.41990774,623.9677394,1.076528697,1
NR F order1 - PR M order1,2,-0.733333333,1.41990774,623.9677394,-0.516465481,1
NR F order1 - NR F order2,2,-0.138095238,1.41990774,623.9677394,-0.097256487,1
NR F order1 - PR F order2,2,-1.4,1.41990774,623.9677394,-0.985979554,1
NR F order1 - NR M order2,2,-1.4,1.41990774,623.9677394,-0.985979554,1
NR F order1 - PR M order2,2,-1.233333333,1.41990774,623.9677394,-0.868601036,1
PR F order1 - NR M order1,2,2.1,1.41990774,623.9677394,1.478969331,1
PR F order1 - PR M order1,2,-0.161904762,1.41990774,623.9677394,-0.114024846,1
PR F order1 - NR F order2,2,0.433333333,1.41990774,623.9677394,0.305184148,1
PR F order1 - PR F order2,2,-0.828571429,1.41990774,623.9677394,-0.58353892,1
PR F order1 - NR M order2,2,-0.828571429,1.41990774,623.9677394,-0.58353892,1
PR F order1 - PR M order2,2,-0.661904762,1.41990774,623.9677394,-0.466160401,1
NR M order1 - PR M order1,2,-2.261904762,1.28499414,893,-1.760245197,1
NR M order1 - NR F order2,2,-1.666666667,1.35382891,623.9677394,-1.231076286,1
NR M order1 - PR F order2,2,-2.928571429,1.35382891,623.9677394,-2.163176903,0.865384428
NR M order1 - NR M order2,2,-2.928571429,1.35382891,623.9677394,-2.163176903,0.865384428
NR M order1 - PR M order2,2,-2.761904762,1.35382891,623.9677394,-2.040069274,1
PR M order1 - NR F order2,2,0.595238095,1.35382891,623.9677394,0.439670102,1
PR M order1 - PR F order2,2,-0.666666667,1.35382891,623.9677394,-0.492430514,1
PR M order1 - NR M order2,2,-0.666666667,1.35382891,623.9677394,-0.492430514,1
PR M order1 - PR M order2,2,-0.5,1.35382891,623.9677394,-0.369322886,1
NR F order2 - PR F order2,2,-1.261904762,1.28499414,893,-0.982031531,1
NR F order2 - NR M order2,2,-1.261904762,1.35382891,623.9677394,-0.932100617,1
NR F order2 - PR M order2,2,-1.095238095,1.35382891,623.9677394,-0.808992988,1
PR F order2 - NR M order2,2,-4.05E-14,1.35382891,623.9677394,-2.99E-14,1
PR F order2 - PR M order2,2,0.166666667,1.35382891,623.9677394,0.123107629,1
NR M order2 - PR M order2,2,0.166666667,1.28499414,893,0.129702278,1
NR F order1 - PR F order1,3,-1.8,1.407640553,893,-1.278735538,1
NR F order1 - NR M order1,3,-2.695238095,1.41990774,623.9677394,-1.898178325,1
NR F order1 - PR M order1,3,-0.623809524,1.41990774,623.9677394,-0.439331026,1
NR F order1 - NR F order2,3,-1.861904762,1.41990774,623.9677394,-1.311285733,1
NR F order1 - PR F order2,3,-0.076190476,1.41990774,623.9677394,-0.053658751,1
NR F order1 - NR M order2,3,-3.433333333,1.41990774,623.9677394,-2.417997478,0.42907256
NR F order1 - PR M order2,3,-0.719047619,1.41990774,623.9677394,-0.506404465,1
PR F order1 - NR M order1,3,-0.895238095,1.41990774,623.9677394,-0.630490327,1
PR F order1 - PR M order1,3,1.176190476,1.41990774,623.9677394,0.828356972,1
PR F order1 - NR F order2,3,-0.061904762,1.41990774,623.9677394,-0.043597735,1
