
	Pairwise comparisons using t tests with pooled SD 

data:  combined_data$pr_hourly_pellet_intake and interaction(combined_data$group, combined_data$hour) 

                  Female_Order_1.0 Female_Order_2.0 Male_Order_1.0
Female_Order_2.15 1.7e-08        < 2e-16          < 2e-16         
Male_Order_1.15   9.3e-05        4.8e-14          < 2e-16         
Male_Order_2.15   5.5e-10        < 2e-16          < 2e-16         
Female_Order_1.16 9.9e-05        1.4e-13          < 2e-16         
Female_Order_2.16 5.7e-08        < 2e-16          < 2e-16         
Male_Order_1.16   0.00356        8.2e-12          1.8e-15         
Male_Order_2.16   1.5e-09        < 2e-16          < 2e-16         
Female_Order_1.17 0.09947        3.0e-09          2.7e-12         
Female_Order_2.17 0.00326        7.2e-12          1.6e-15         
Male_Order_1.17   1.00000        8.3e-08          8.0e-11         
Male_Order_2.17   8.9e-07        < 2e-16          < 2e-16         
Female_Order_1.18 0.00303        1.7e-11          7.0e-15         
Female_Order_2.18 0.00273        5.6e-12          1.2e-15         
Male_Order_1.18   1.00000        7.3e-07          1.0e-09         
Male_Order_2.18   0.00779        2.6e-11          6.8e-15         
Female_Order_1.19 1.00000        0.00014          7.3e-07         
Female_Order_2.19 1.00000        0.00044          2.2e-06         
Male_Order_1.19   1.00000        0.19722          0.00389         
Male_Order_2.19   1.00000        0.00010          3.6e-07         
Female_Order_1.20 1.00000        0.00323          3.3e-05         
Female_Order_2.20 1.00000        1.00000          0.12978         
Male_Order_1.20   1.00000        0.01227          0.00013         
Male_Order_2.20   1.00000        0.47478          0.01189         
Female_Order_1.21 1.00000        1.00000          0.26279         
Female_Order_2.21 1.00000        1.00000          0.05148         
Male_Order_1.21   1.00000        1.00000          1.00000         
Male_Order_2.21   1.00000        1.00000          0.03450         
Female_Order_1.22 1.00000        1.00000          1.00000         
Female_Order_2.22 1.00000        1.00000          0.05148         
Male_Order_1.22   1.00000        1.00000          0.26912         
Male_Order_2.22   1.00000        0.44501          0.01094         
Female_Order_1.23 1.00000        2.1e-05          7.9e-08         
Female_Order_2.23 1.00000        5.9e-07          8.1e-10         
Male_Order_1.23   1.00000        0.79739          0.02304         
Male_Order_2.23   1.00000        0.00044          2.2e-06         
                  Male_Order_1.1 Male_Order_2.1 Female_Order_1.2
Female_Order_2.0  -              -              -               
Male_Order_1.0    -              -              -               
Male_Order_2.0    -              -              -               
Female_Order_1.1  -              -              -               
Female_Order_2.1  -              -              -               
Male_Order_1.1    -              -              -               
Male_Order_2.1    1.00000        -              -               
Female_Order_1.2  1.00000        1.00000        -               
Female_Order_2.2  1.00000        1.00000        1.00000         
Male_Order_1.2    1.00000        1.00000        1.00000         
Male_Order_2.2    1.00000        1.00000        1.00000         
Female_Order_1.3  1.00000        1.00000        1.00000         
Female_Order_2.3  1.00000        1.00000        1.00000         
Male_Order_1.3    1.00000        1.00000        1.00000         
Male_Order_2.3    1.00000        1.00000        1.00000         
Female_Order_1.4  1.00000        1.00000        1.00000         
Female_Order_2.4  1.00000        1.00000        1.00000         
Male_Order_1.4    1.00000        1.00000        1.00000         
Male_Order_2.4    1.00000        1.00000        1.00000         
Female_Order_1.5  1.00000        1.00000        1.00000         
Female_Order_2.5  1.00000        1.00000        1.00000         
Male_Order_1.5    1.00000        1.00000        1.00000         
Male_Order_2.5    1.00000        1.00000        1.00000         
Female_Order_1.6  1.00000        1.00000        1.00000         
Female_Order_2.6  1.00000        1.00000        1.00000         
Male_Order_1.6    1.00000        1.00000        1.00000         
Male_Order_2.6    1.00000        1.00000        1.00000         
Female_Order_1.7  0.16211        0.51318        1.00000         
Female_Order_2.7  0.25058        0.81454        1.00000         
Male_Order_1.7    1.00000        1.00000        1.00000         
Male_Order_2.7    1.00000        1.00000        1.00000         
Female_Order_1.8  1.00000        1.00000        1.00000         
Female_Order_2.8  1.00000        1.00000        1.00000         
Male_Order_1.8    1.00000        1.00000        1.00000         
Male_Order_2.8    1.00000        1.00000        1.00000         
Female_Order_1.9  1.00000        1.00000        1.00000         
Female_Order_2.9  1.00000        1.00000        1.00000         
Male_Order_1.9    1.00000        1.00000        1.00000         
Male_Order_2.9    1.00000        1.00000        1.00000         
Female_Order_1.10 1.00000        1.00000        1.00000         
Female_Order_2.10 1.00000        1.00000        1.00000         
Male_Order_1.10   1.00000        1.00000        1.00000         
Male_Order_2.10   1.00000        1.00000        1.00000         
Female_Order_1.11 1.00000        1.00000        1.00000         
Female_Order_2.11 1.00000        1.00000        1.00000         
Male_Order_1.11   1.00000        1.00000        1.00000         
Male_Order_2.11   1.00000        1.00000        1.00000         
Female_Order_1.12 1.00000        1.00000        1.00000         
Female_Order_2.12 1.00000        1.00000        1.00000         
Male_Order_1.12   1.00000        1.00000        1.00000         
Male_Order_2.12   1.00000        1.00000        1.00000         
Female_Order_1.13 0.00182        0.00041        0.00039         
Female_Order_2.13 1.5e-08        1.9e-09        3.8e-09         
Male_Order_1.13   1.5e-05        2.4e-06        3.2e-06         
Male_Order_2.13   7.9e-06        1.2e-06        1.7e-06         
Female_Order_1.14 2.4e-07        3.7e-08        5.5e-08         
Female_Order_2.14 2.9e-10        3.2e-11        7.9e-11         
Male_Order_1.14   2.8e-09        3.3e-10        7.2e-10         
Male_Order_2.14   1.5e-10        1.7e-11        4.3e-11         
Female_Order_1.15 1.9e-11        2.1e-12        5.1e-12         
Female_Order_2.15 4.3e-10        4.8e-11        1.2e-10         
Male_Order_1.15   4.2e-06        6.4e-07        9.1e-07         
Male_Order_2.15   1.1e-11        1.1e-12        3.3e-12         
Female_Order_1.16 5.1e-06        8.7e-07        1.1e-06         
Female_Order_2.16 1.5e-09        1.8e-10        3.9e-10         
Male_Order_1.16   0.00022        4.2e-05        4.8e-05         
Male_Order_2.16   3.2e-11        3.3e-12        9.3e-12         
Female_Order_1.17 0.00996        0.00244        0.00219         
Female_Order_2.17 0.00020        3.8e-05        4.3e-05         
Male_Order_1.17   0.16211        0.04393        0.03661         
Male_Order_2.17   2.8e-08        3.6e-09        6.8e-09         
Female_Order_1.18 0.00022        4.3e-05        4.6e-05         
Female_Order_2.18 0.00017        3.1e-05        3.6e-05         
Male_Order_1.18   0.66671        0.20212        0.15988         
Male_Order_2.18   0.00053        0.00010        0.00011         
Female_Order_1.19 1.00000        1.00000        1.00000         
Female_Order_2.19 1.00000        1.00000        1.00000         
Male_Order_1.19   1.00000        1.00000        1.00000         
Male_Order_2.19   1.00000        1.00000        1.00000         
Female_Order_1.20 1.00000        1.00000        1.00000         
Female_Order_2.20 1.00000        1.00000        1.00000         
Male_Order_1.20   1.00000        1.00000        1.00000         
Male_Order_2.20   1.00000        1.00000        1.00000         
Female_Order_1.21 1.00000        1.00000        1.00000         
Female_Order_2.21 1.00000        1.00000        1.00000         
Male_Order_1.21   1.00000        1.00000        1.00000         
Male_Order_2.21   1.00000        1.00000        1.00000         
Female_Order_1.22 1.00000        1.00000        1.00000         
Female_Order_2.22 1.00000        1.00000        1.00000         
Male_Order_1.22   1.00000        1.00000        1.00000         
Male_Order_2.22   1.00000        1.00000        1.00000         
Female_Order_1.23 1.00000        1.00000        0.94254         
