,contrast,estimate,SE,df,t.ratio,p.value
115,NR4 Order1 - NR3 Order2,-6.257575758,14.2913187,21,-0.437858527,1
116,NR4 Order1 - NR4 Order2,2.325757576,15.02830413,21,0.154758485,1
117,NR4 Order1 - NR5 Order2,-17.09090909,14.64202363,21,-1.167250478,1
118,NR4 Order1 - NR6 Order2,-13.34090909,13.58114753,21,-0.982310888,1
119,NR4 Order1 - PR0 Order2,46.99242424,13.90983115,21,3.378360508,0.891313277
120,NR4 Order1 - PR1 Order2,37.99242424,15.54591014,21,2.443885492,1
121,NR4 Order1 - PR2 Order2,-5.090909091,15.02431782,21,-0.338844609,1
122,NR4 Order1 - PR3 Order2,-5.257575758,14.505463,21,-0.362454874,1
123,NR4 Order1 - PR4 Order2,-28.84090909,15.23269083,21,-1.893356165,1
124,NR4 Order1 - PR5 Order2,-39.67424242,14.83820865,21,-2.673789226,1
125,NR4 Order1 - PR6 Order2,-31.17424242,16.65139985,21,-1.872169469,1
126,NR5 Order1 - NR6 Order1,9.545454545,4.487103826,21,2.127308597,1
127,NR5 Order1 - PR0 Order1,47.18181818,14.06825554,21,3.353778871,0.9381506
128,NR5 Order1 - PR1 Order1,13.90909091,14.94721242,21,0.930547484,1
129,NR5 Order1 - PR2 Order1,4.636363636,14.41508131,21,0.321632847,1
130,NR5 Order1 - PR3 Order1,4.909090909,13.52704134,21,0.362909433,1
131,NR5 Order1 - PR4 Order1,-1.909090909,14.42478013,21,-0.132348008,1
132,NR5 Order1 - PR5 Order1,-14.90909091,14.98192645,21,-0.99513844,1
133,NR5 Order1 - PR6 Order1,-7.818181818,16.1146532,21,-0.485159793,1
134,NR5 Order1 - NR0 Order2,-38.84848485,15.36202108,21,-2.528865482,1
135,NR5 Order1 - NR1 Order2,-41.59848485,14.89506004,21,-2.792770538,1
136,NR5 Order1 - NR2 Order2,-13.18181818,13.2140721,21,-0.997559124,1
137,NR5 Order1 - NR3 Order2,-3.348484848,13.84697822,21,-0.241820619,1
138,NR5 Order1 - NR4 Order2,5.234848485,14.60640068,21,0.358394145,1
139,NR5 Order1 - NR5 Order2,-14.18181818,14.20865482,21,-0.998111247,1
140,NR5 Order1 - NR6 Order2,-10.43181818,13.11276416,21,-0.795546847,1
141,NR5 Order1 - PR0 Order2,49.90151515,13.45289628,21,3.709351065,0.432542803
