"","Order","Sex","Diet_Phase","Current_Size","Next_Size","Mean_Time_Gap","SD_Time_Gap","Count"
"73",1,"F","PR","4","3",10.9880952380892,9.78980541396489,56
"74",1,"F","PR","4","4",23.2662601626016,26.0367871396001,41
"75",1,"F","PR","4","5",30.6666666666841,40.5146746112812,38
"76",1,"F","PR","4","6",42.9460317461905,48.3244781845942,21
"77",1,"F","PR","4","7",25.6875,14.2716663658658,12
"78",1,"F","PR","5","1",13.2462121212197,6.28170908584408,44
"79",1,"F","PR","5","2",13.8718390804598,14.9245636873878,29
"80",1,"F","PR","5","3",24.3220430106451,32.4804925462429,31
"81",1,"F","PR","5","4",25.1011111111222,21.1357734247579,30
"82",1,"F","PR","5","5",26.0291666665278,18.5546166304727,24
"83",1,"F","PR","5","6",34.4950980392157,38.967355356718,17
"84",1,"F","PR","5","7",43.2571428571427,26.6566628060916,7
"85",1,"F","PR","6","1",29.6749999999833,49.2515127265013,20
"86",1,"F","PR","6","2",23.2333333333519,24.6989395395521,18
"87",1,"F","PR","6","3",28.7074074074073,31.1375953449118,18
"88",1,"F","PR","6","4",27.4911111111111,21.0064822446858,15
"89",1,"F","PR","6","5",46.1518518518517,34.4604064717401,9
"90",1,"F","PR","6","6",36.866666666667,43.6274641137893,9
"91",1,"F","PR","6","7",36.8555555555553,28.7607403448721,6
"92",1,"F","PR","7","1",26.2868421052631,38.1958862673101,19
"93",1,"F","PR","7","2",20.5904761904762,10.4629852741254,7
"94",1,"F","PR","7","3",33.6305555555554,26.0356882430551,12
"95",1,"F","PR","7","4",15.7018518518518,4.46674008369754,9
"96",1,"F","PR","7","5",17.7766666666664,6.32159658103388,5
"97",1,"F","PR","7","6",42.4190476190477,29.6353946111167,7
"98",1,"F","PR","7","7",39.5749999999999,29.7834825588502,4
"99",1,"M","NR","1","1",6.68409586055557,9.04088531264431,153
"100",1,"M","NR","1","2",9.28919413924534,12.9962934825931,91
"101",1,"M","NR","1","3",8.34526315789475,8.60220113921307,95
"102",1,"M","NR","1","4",19.759704641384,34.159278397339,79
"103",1,"M","NR","1","5",29.1321256039517,40.4518850316989,69
"104",1,"M","NR","1","6",42.3526881720537,38.5875649459876,31
"105",1,"M","NR","1","7",50.4586956521884,42.2939126495747,23
"106",1,"M","NR","2","1",10.1404761904872,14.6178493425104,91
"107",1,"M","NR","2","2",10.9841666666834,13.4037840122616,60
"108",1,"M","NR","2","3",12.5481132076037,13.4092202065075,53
"109",1,"M","NR","2","4",27.4538461537821,32.4907908210668,52
"110",1,"M","NR","2","5",30.9666666667523,35.6476857595292,35
"111",1,"M","NR","2","6",33.3158730158571,27.9226160209006,21
"112",1,"M","NR","2","7",74.7214285719047,40.0960394667206,7
"113",1,"M","NR","3","1",12.4129999999967,14.1103504487585,100
"114",1,"M","NR","3","2",18.7686781608506,22.9219365715112,58
"115",1,"M","NR","3","3",20.6592307692256,31.3926734793953,65
"116",1,"M","NR","3","4",29.6008928570893,31.4276455246556,56
"117",1,"M","NR","3","5",30.4484848484847,31.1873518427517,44
"118",1,"M","NR","3","6",44.8722222222222,27.8370186593886,18
"119",1,"M","NR","3","7",65.6655555560001,35.3656290331958,15
"120",1,"M","NR","4","1",15.3014999999933,19.9380556007659,100
"121",1,"M","NR","4","2",14.5598484848408,16.5753924418692,44
"122",1,"M","NR","4","3",23.2051282051231,25.9157251173918,65
"123",1,"M","NR","4","4",19.2956284153662,16.0426606913414,61
"124",1,"M","NR","4","5",35.4659722220833,41.2497804217883,48
"125",1,"M","NR","4","6",46.3625000000002,39.7033603677942,12
"126",1,"M","NR","4","7",63.1952380954761,50.5971129495881,14
"127",1,"M","NR","5","1",16.3632768362147,17.2256390759145,59
"128",1,"M","NR","5","2",18.1833333333519,22.9995196637126,36
"129",1,"M","NR","5","3",27.2490566038365,29.5104168945883,53
"130",1,"M","NR","5","4",33.2740310077442,33.7620474876795,43
"131",1,"M","NR","5","5",35.9376666665334,33.8998213711513,50
"132",1,"M","NR","5","6",46.7148148148272,37.0175929337485,27
"133",1,"M","NR","5","7",60.7893939393938,44.4956522674639,11
"134",1,"M","NR","6","1",18.7158333333332,20.6800441105719,20
"135",1,"M","NR","6","2",29.6277777777777,28.4931707681555,15
"136",1,"M","NR","6","3",19.8361111111112,24.2727410047228,18
"137",1,"M","NR","6","4",33.9495370369444,48.3534376062667,36
"138",1,"M","NR","6","5",45.1053030303032,35.0644743967255,22
"139",1,"M","NR","6","6",58.9756410251282,23.6592991416297,13
"140",1,"M","NR","6","7",43.8714285714285,28.261234597101,7
"141",1,"M","NR","7","1",18.0944444444629,17.8583753075931,18
"142",1,"M","NR","7","2",19.4607142857142,22.5990692713037,14
"143",1,"M","NR","7","3",18.5151515151516,11.8188795637072,11
"144",1,"M","NR","7","4",34.2131578947368,42.5772952082618,19
"145",1,"M","NR","7","5",71.1027777777776,69.8345945921636,6
"146",1,"M","NR","7","6",53.6479166666668,50.462598469025,8
"147",1,"M","NR","7","7",67.814583333333,41.2220029448558,8
"148",1,"M","PR","1","1",10.8862348178178,15.5673773620734,247
"149",1,"M","PR","1","2",12.5364516128925,23.2247084106919,155
"150",1,"M","PR","1","3",9.73465608466675,13.8262451885548,126
"151",1,"M","PR","1","4",17.6604417670763,22.5136371968063,83
"152",1,"M","PR","1","5",23.5646825398493,28.7320105620944,42
"153",1,"M","PR","1","6",31.6636363637373,30.8539948946263,33
"154",1,"M","PR","1","7",36.9333333333332,25.9838830030988,13
"155",1,"M","PR","2","1",12.2712441314601,19.1757624778011,142
"156",1,"M","PR","2","2",11.9348039215816,14.6852284851011,102
"157",1,"M","PR","2","3",19.8557347669821,28.8287643500222,93
"158",1,"M","PR","2","4",19.6260101010152,27.5673197964311,66
"159",1,"M","PR","2","5",35.0560185186111,39.902730573214,36
"160",1,"M","PR","2","6",48.8898148148148,53.9594577107135,18
"161",1,"M","PR","2","7",68.4212121209091,25.8472081994071,11
"162",1,"M","PR","3","1",12.3234741783967,13.706461286151,142
"163",1,"M","PR","3","2",14.7637755101394,17.0623835208713,98
"164",1,"M","PR","3","3",20.1959770115326,28.7136753972656,87
"165",1,"M","PR","3","4",23.4080952381476,22.1401586341223,70
"166",1,"M","PR","3","5",30.2199999999251,26.3104531671725,40
"167",1,"M","PR","3","6",50.4194444447223,38.2912501765249,12
"168",1,"M","PR","3","7",54.3469696969698,34.5334192551876,11
"169",1,"M","PR","4","1",13.8906504065041,14.5115606195769,82
"170",1,"M","PR","4","2",17.385593220339,16.8072696988008,59
"171",1,"M","PR","4","3",19.8780821916896,21.7024309306027,73
"172",1,"M","PR","4","4",23.1038011696491,16.8194152203553,57
"173",1,"M","PR","4","5",32.9223958333438,28.0646222435435,32
"174",1,"M","PR","4","6",49.3333333334721,39.3070060504496,24
"175",1,"M","PR","4","7",49.452380952143,28.2351987221019,14
"176",1,"M","PR","5","1",15.8666666666666,12.7837783313826,49
"177",1,"M","PR","5","2",23.0681159419131,20.5929758498389,23
"178",1,"M","PR","5","3",23.9425925925,24.8928380864191,36
"179",1,"M","PR","5","4",40.365384615299,42.0675251505469,39
"180",1,"M","PR","5","5",35.675,32.5021113477289,22
"181",1,"M","PR","5","6",35.0576923076921,21.4363016514051,13
"182",1,"M","PR","5","7",69.1513888888888,52.4019360514097,12
"183",1,"M","PR","6","1",19.4041666666528,12.7375754088113,24
"184",1,"M","PR","6","2",30.5992424242425,21.3684950046515,22
"185",1,"M","PR","6","3",30.0708333331947,24.0166987246215,24
"186",1,"M","PR","6","4",38.1448717948717,34.397920227165,13
"187",1,"M","PR","6","5",48.1388888892592,34.0529801564461,18
"188",1,"M","PR","6","6",35.1696969693942,16.3932469463282,11
"189",1,"M","PR","6","7",44.4055555555553,21.5063384283008,3
"190",1,"M","PR","7","1",24.1377777777778,18.1382482689081,15
"191",1,"M","PR","7","2",38.8277777777779,39.7701896665218,9
"192",1,"M","PR","7","3",29.6184210526316,19.4003109421568,19
"193",1,"M","PR","7","4",49.0537037037037,29.6155584788191,9
"194",1,"M","PR","7","5",41.1928571428573,18.2458210769611,7
