"diff","lwr","upr","p adj","comparison"
0.578000000000001,0.329203712090687,0.826796287909315,7.84705633805061e-13,"M:1:8-M:2:6"
0.0284999999999994,-0.220296287909314,0.277296287909313,1,"F:2:8-M:2:6"
0.0529999999999999,-0.195796287909314,0.301796287909314,1,"M:2:8-M:2:6"
0.62372,0.362780251848824,0.884659748151177,7.52731210695856e-13,"F:1:9-M:2:6"
0.5678,0.319003712090687,0.816596287909314,7.6527673087412e-13,"M:1:9-M:2:6"
0.0446666666666657,-0.204129621242648,0.293462954575979,1,"F:2:9-M:2:6"
0.0584999999999995,-0.190296287909314,0.307296287909313,1,"M:2:9-M:2:6"
0.6086,0.347660251848824,0.869539748151177,7.6039174956577e-13,"F:1:10-M:2:6"
0.5336,0.284803712090686,0.782396287909314,1.06392672449829e-12,"M:1:10-M:2:6"
0.00716666666666629,-0.241629621242647,0.25596295457598,1,"F:2:10-M:2:6"
0.079,-0.169796287909314,0.327796287909314,0.999999999430019,"M:2:10-M:2:6"
-0.0110000000000005,-0.271939748151177,0.249939748151176,1,"F:1:11-M:2:6"
-0.00700000000000064,-0.255796287909314,0.241796287909313,1,"M:1:11-M:2:6"
0.5792,0.330403712090687,0.827996287909314,7.70383756787396e-13,"F:2:11-M:2:6"
0.779600000000001,0.530803712090687,1.02839628790931,2.21267448807794e-13,"M:2:11-M:2:6"
-0.00540000000000082,-0.266339748151178,0.255539748151176,1,"F:1:12-M:2:6"
0.000666666666666482,-0.248129621242647,0.24946295457598,1,"M:1:12-M:2:6"
0.6698,0.421003712090686,0.918596287909314,5.1725290717286e-13,"F:2:12-M:2:6"
0.7088,0.460003712090686,0.957596287909314,2.97650792902004e-13,"M:2:12-M:2:6"
0.0117999999999996,-0.249139748151177,0.272739748151176,1,"F:1:13-M:2:6"
0.00783333333333289,-0.240962954575981,0.256629621242647,1,"M:1:13-M:2:6"
0.536600000000001,0.287803712090687,0.785396287909314,9.54791801177635e-13,"F:2:13-M:2:6"
0.637400000000001,0.388603712090687,0.886196287909314,6.98663349396611e-13,"M:2:13-M:2:6"
0.00299999999999956,-0.257939748151177,0.263939748151176,1,"F:1:14-M:2:6"
0.000999999999999501,-0.247796287909314,0.249796287909313,1,"M:1:14-M:2:6"
0.479,0.230203712090686,0.727796287909314,1.24867560735709e-10,"F:2:14-M:2:6"
0.6242,0.375403712090686,0.872996287909314,7.34190486184616e-13,"M:2:14-M:2:6"
0.0233999999999997,-0.237539748151177,0.284339748151176,1,"F:1:15-M:2:6"
0.00233333333333305,-0.246462954575981,0.251129621242647,1,"M:1:15-M:2:6"
0.422000000000001,0.173203712090687,0.670796287909314,4.34486355782582e-08,"F:2:15-M:2:6"
0.6194,0.370603712090687,0.868196287909314,7.52509166090931e-13,"M:2:15-M:2:6"
0.02,-0.240939748151177,0.280939748151177,1,"F:1:16-M:2:6"
0.0104999999999997,-0.238296287909314,0.259296287909313,1,"M:1:16-M:2:6"
0.6032,0.354403712090686,0.851996287909314,7.27529148036865e-13,"F:2:16-M:2:6"
