Mouse ID,Sex,Order,Day,Protein Intake (g)
FEDXB08,F,1.0,7,0.63
FEDXB08,F,1.0,8,0.6552
FEDXB08,F,1.0,9,0.7884
FEDXB08,F,1.0,10,0.6768
FEDXB08,F,1.0,11,0.178
FEDXB08,F,1.0,12,0.183
FEDXB08,F,1.0,13,0.192
FEDXB08,F,1.0,14,0.17300000000000001
FEDXB08,F,1.0,15,0.17200000000000001
FEDXB08,F,1.0,16,0.211
FEDXB08,F,1.0,17,0.181
FEDXB10,F,1.0,1,1.08204
FEDXB10,F,1.0,2,0.89886
FEDXB10,F,1.0,3,0.92442
FEDXB10,F,1.0,4,0.7632
FEDXB10,F,1.0,5,0.972
FEDXB10,F,1.0,6,0.8675999999999999
FEDXB10,F,1.0,7,0.6912
FEDXB10,F,1.0,8,0.6192
FEDXB10,F,1.0,9,0.7956
FEDXB10,F,1.0,10,0.8712
FEDXB10,F,1.0,11,0.164
FEDXB10,F,1.0,12,0.177
FEDXB10,F,1.0,13,0.226
FEDXB10,F,1.0,14,0.212
FEDXB10,F,1.0,15,0.23500000000000001
FEDXB10,F,1.0,16,0.23500000000000001
FEDXB10,F,1.0,17,0.225
FEDXB11,F,1.0,1,1.15872
FEDXB11,F,1.0,2,0.97554
FEDXB11,F,1.0,3,1.0437
FEDXB11,F,1.0,4,0.5148
FEDXB11,F,1.0,5,0.6732
FEDXB11,F,1.0,6,0.4644
FEDXB11,F,1.0,7,0.49319999999999997
FEDXB11,F,1.0,8,0.504
FEDXB11,F,1.0,9,0.6372
FEDXB11,F,1.0,10,0.6587999999999999
FEDXB11,F,1.0,11,0.16
FEDXB11,F,1.0,12,0.165
FEDXB11,F,1.0,13,0.178
FEDXB11,F,1.0,14,0.185
FEDXB11,F,1.0,15,0.201
FEDXB11,F,1.0,16,0.19
FEDXB11,F,1.0,17,0.171
FEDXB12,F,1.0,1,0.9585
FEDXB12,F,1.0,2,0.99258
FEDXB12,F,1.0,3,0.93294
FEDXB12,F,1.0,4,0.5508
FEDXB12,F,1.0,5,0.6984
FEDXB12,F,1.0,6,0.6372
FEDXB12,F,1.0,7,0.6335999999999999
FEDXB12,F,1.0,8,0.6624
FEDXB12,F,1.0,9,0.8064
FEDXB12,F,1.0,10,0.7236
FEDXB12,F,1.0,11,0.171
FEDXB12,F,1.0,12,0.193
FEDXB12,F,1.0,13,0.182
FEDXB12,F,1.0,14,0.184
FEDXB12,F,1.0,15,0.22
FEDXB12,F,1.0,16,0.189
FEDXB12,F,1.0,17,0.17400000000000002
