"Sex","Order","Phase","Hour","mean_meals","sd_meals","mean_snacks","sd_snacks","mean_mega_meals","sd_mega_meals"
"F","1","PR","2",1.62857142857143,0.830539534499922,0.771428571428571,0.682133507789333,0.142857142857143,0.174963553055941
"F","1","PR","3",1.57142857142857,0.662401321106836,1.48571428571429,1.21889880044009,0.171428571428571,0.15649215928719
"F","1","PR","4",0.771428571428571,0.127775312999988,0.542857142857143,0.444926042925641,0.0857142857142857,0.0782460796435952
"F","1","PR","5",0.771428571428571,0.216653584115759,0.771428571428571,0.68957247920841,0.228571428571429,0.29623487647611
"F","1","PR","6",0.885714285714286,0.369776545872708,0.514285714285714,0.385978745317323,0.114285714285714,0.119522860933439
"F","1","PR","7",0.4,0.341066753894666,0.0571428571428571,0.0782460796435952,0.0571428571428571,0.0782460796435952
"F","1","PR","8",0.628571428571429,0.435655733770769,0.285714285714286,0.225876975726313,0.171428571428571,0.119522860933439
"F","1","PR","9",0.885714285714286,0.444926042925641,0.371428571428571,0.411567436882512,0.142857142857143,0.101015254455221
"F","1","PR","10",0.457142857142857,0.421368034392932,0.228571428571429,0.216653584115759,0.428571428571429,0.225876975726313
"F","1","PR","11",0.971428571428571,0.274791200881019,0.485714285714286,0.540219154319687,0.457142857142857,0.15649215928719
"F","1","PR","12",1.4,0.433307168231517,0.4,0.309706905552554,0.885714285714286,0.478091443733758
"F","1","PR","13",3.02857142857143,1.26732886378382,2,1.98976975388345,0.542857142857143,0.478091443733757
"F","1","PR","14",3.02857142857143,1.58886431010278,2.54285714285714,2.48341437113815,0.885714285714286,0.745051703451731
"F","1","PR","15",2.8,1.89144151916155,1.68571428571429,1.34922502321344,1.22857142857143,1.03312484181512
"F","1","PR","16",2.65714285714286,1.63382610919952,1.25714285714286,1.09916480352408,0.971428571428571,0.724216677464947
"F","1","PR","17",1.82857142857143,1.21806135698813,1.17142857142857,0.976248546472565,1.08571428571429,0.718558647997674
"F","1","PR","18",2.05714285714286,1.2437599348388,1,0.788954358370519,1.05714285714286,0.68957247920841
"F","1","PR","19",1.6,0.882944979449282,1.14285714285714,1.0973065354098,0.8,0.511101251999952
"F","1","PR","20",1.48571428571429,1.05269333868232,1.05714285714286,0.67461251160672,0.657142857142857,0.458480186739463
"F","1","PR","21",1.34285714285714,1.04783547547956,0.314285714285714,0.119522860933439,0.514285714285714,0.328881840949181
"F","1","PR","22",1.02857142857143,0.519025774988141,0.685714285714286,0.583794764048644,0.457142857142857,0.119522860933439
