"sex","order","phase","hour","mean_pellet_intake","sd_pellet_intake","n"
"M","1","PR","0",6.04761904761905,1.42475681180653,6
"M","1","PR","1",6.90476190476191,2.57089941645406,6
"M","1","PR","2",6.33333333333333,1.804001598865,6
"M","1","PR","3",5.16666666666667,1.01586061500368,6
"M","1","PR","4",4.52380952380952,1.78580952126998,6
"M","1","PR","5",5.02380952380952,1.56339940100885,6
"M","1","PR","6",3.30952380952381,2.48163321249546,6
"M","1","PR","7",3.28571428571429,1.82499650544815,6
"M","1","PR","8",3.38095238095238,1.31759417946829,6
"M","1","PR","9",4.38095238095238,1.67738052992661,6
"M","1","PR","10",4.90476190476191,1.40456011464311,6
"M","1","PR","11",6.78571428571429,1.04099638298495,6
"M","1","PR","12",9.35714285714286,1.65800470199476,6
"M","1","PR","13",14.547619047619,2.13315262840108,6
"M","1","PR","14",16.3333333333333,2.8003886999394,6
"M","1","PR","15",14.8333333333333,3.36296354567275,6
"M","1","PR","16",13.9047619047619,2.20512698818313,6
"M","1","PR","17",12.0714285714286,1.4335627090631,6
"M","1","PR","18",11.5952380952381,2.85058771837249,6
"M","1","PR","19",8.23809523809524,2.29403248320803,6
"M","1","PR","20",9.11904761904762,1.94079021706795,6
"M","1","PR","21",6.45238095238095,2.43011155646624,6
"M","1","PR","22",6.97619047619048,1.54237205778173,6
"M","1","PR","23",7.73809523809524,2.84915550204441,6
"M","2","NR","0",6.76190476190476,2.99886599882548,6
"M","2","NR","1",5.78571428571429,2.61198181073143,6
"M","2","NR","2",7,3.5981854837557,6
"M","2","NR","3",7.97619047619048,2.59892704182081,6
"M","2","NR","4",8,3.13895862102223,6
"M","2","NR","5",7.19047619047619,1.33299315388314,6
"M","2","NR","6",3.04761904761905,2.56931129764723,6
"M","2","NR","7",3.80952380952381,1.64047446264336,6
"M","2","NR","8",3.28571428571429,1.72851239568619,6
"M","2","NR","9",2.57142857142857,0.651528814342365,6
"M","2","NR","10",4.07142857142857,1.18752013946402,6
"M","2","NR","11",6.69047619047619,2.01912623386932,6
"M","2","NR","12",9.19047619047619,3.25722639826031,6
"M","2","NR","13",17.7142857142857,2.73301806710128,6
"M","2","NR","14",21.5952380952381,4.62946787321347,6
"M","2","NR","15",20,4.81494272752935,6
"M","2","NR","16",19.6904761904762,4.38775352001237,6
"M","2","NR","17",18.4761904761905,4.01900248225613,6
"M","2","NR","18",14.8809523809524,2.02518160771267,6
"M","2","NR","19",9.26190476190476,2.9917119072622,6
"M","2","NR","20",9.04761904761905,2.24911169161528,6
"M","2","NR","21",7.66666666666667,2.29047124046589,6
"M","2","NR","22",7.09523809523809,2.97838014687846,6
"M","2","NR","23",10.0952380952381,2.31175640738267,6
"M","2","PR","0",7.61904761904762,2.01558553130687,6
"M","2","PR","1",6.5,1.63569868988198,6
"M","2","PR","2",6.83333333333333,2.36542556324187,6
"M","2","PR","3",5.26190476190476,0.887172378927553,6
"M","2","PR","4",5.47619047619048,1.89880019403589,6
"M","2","PR","5",5.11904761904762,1.50486738629692,6
"M","2","PR","6",3.11904761904762,1.0357553358039,6
"M","2","PR","7",3.30952380952381,0.747330851337307,6
"M","2","PR","8",3.38095238095238,1.45592853229699,6
"M","2","PR","9",4.02380952380952,2.25952255507015,6
"M","2","PR","10",4.52380952380952,1.58993432457526,6
"M","2","PR","11",5.30952380952381,1.47473046078692,6
"M","2","PR","12",9.73809523809524,1.26947415328172,6
"M","2","PR","13",14.6904761904762,3.07911551926075,6
"M","2","PR","14",16.8809523809524,1.90898341718173,6
"M","2","PR","15",17.3571428571429,2.52295583045938,6
"M","2","PR","16",17.1666666666667,2.32012784071889,6
"M","2","PR","17",15.8809523809524,2.41663734441512,6
"M","2","PR","18",13.6904761904762,4.4303375894465,6
"M","2","PR","19",10.4285714285714,3.1350552512789,6
"M","2","PR","20",7.92857142857143,1.85769222643668,6
"M","2","PR","21",7.61904761904762,2.96188945027431,6
"M","2","PR","22",7.95238095238095,2.94946092157383,6
"M","2","PR","23",10.047619047619,1.59506040232802,6
