"sex","order","diet","term","group1","group2","null.value","estimate","conf.low","conf.high","p.adj","p.adj.signif"
"M","2","NR","hour","2","20",0,0.404761904761905,-0.427098117575693,1.2366219270995,0.979,"ns"
"M","2","NR","hour","2","21",0,0.404761904761905,-0.427098117575693,1.2366219270995,0.979,"ns"
"M","2","NR","hour","2","22",0,0.357142857142857,-0.474717165194741,1.18900287948046,0.995,"ns"
"M","2","NR","hour","2","23",0,0.5,-0.331860022337598,1.3318600223376,0.842,"ns"
"M","2","NR","hour","3","4",0,0.190476190476191,-0.641383831861408,1.02233621281379,1,"ns"
"M","2","NR","hour","3","5",0,0.142857142857143,-0.689002879480455,0.974717165194742,1,"ns"
"M","2","NR","hour","3","6",0,-0.119047619047619,-0.950907641385217,0.712812403289979,1,"ns"
"M","2","NR","hour","3","7",0,-0.0476190476190463,-0.879479069956644,0.784240974718552,1,"ns"
"M","2","NR","hour","3","8",0,-0.142857142857144,-0.974717165194742,0.689002879480454,1,"ns"
"M","2","NR","hour","3","9",0,-0.214285714285713,-1.04614573662331,0.617574308051885,1,"ns"
"M","2","NR","hour","3","10",0,-0.119047619047619,-0.950907641385217,0.71281240328998,1,"ns"
"M","2","NR","hour","3","11",0,0.142857142857143,-0.689002879480456,0.974717165194741,1,"ns"
"M","2","NR","hour","3","12",0,1.33226762955019e-15,-0.831860022337597,0.831860022337599,1,"ns"
"M","2","NR","hour","3","13",0,2.77555756156289e-16,-0.831860022337598,0.831860022337598,1,"ns"
"M","2","NR","hour","3","14",0,0.833333333333333,0.00147331099573533,1.66519335567093,0.049,"*"
"M","2","NR","hour","3","15",0,0.928571428571429,0.0967114062338311,1.76043145090903,0.0122,"*"
"M","2","NR","hour","3","16",0,1.0952380952381,0.263378072900498,1.92709811757569,0.000718,"***"
"M","2","NR","hour","3","17",0,0.928571428571428,0.09671140623383,1.76043145090903,0.0122,"*"
"M","2","NR","hour","3","18",0,0.666666666666667,-0.165193355670932,1.49852668900426,0.322,"ns"
"M","2","NR","hour","3","19",0,0.333333333333333,-0.498526689004265,1.16519335567093,0.998,"ns"
"M","2","NR","hour","3","20",0,0.214285714285714,-0.617574308051884,1.04614573662331,1,"ns"
"M","2","NR","hour","3","21",0,0.214285714285714,-0.617574308051884,1.04614573662331,1,"ns"
"M","2","NR","hour","3","22",0,0.166666666666667,-0.665193355670931,0.998526689004265,1,"ns"
"M","2","NR","hour","3","23",0,0.30952380952381,-0.522336212813788,1.14138383186141,0.999,"ns"
"M","2","NR","hour","4","5",0,-0.0476190476190471,-0.879479069956645,0.784240974718551,1,"ns"
"M","2","NR","hour","4","6",0,-0.309523809523809,-1.14138383186141,0.522336212813789,0.999,"ns"
"M","2","NR","hour","4","7",0,-0.238095238095237,-1.06995526043284,0.593764784242361,1,"ns"
"M","2","NR","hour","4","8",0,-0.333333333333334,-1.16519335567093,0.498526689004264,0.998,"ns"
"M","2","NR","hour","4","9",0,-0.404761904761904,-1.2366219270995,0.427098117575694,0.979,"ns"
"M","2","NR","hour","4","10",0,-0.309523809523809,-1.14138383186141,0.522336212813789,0.999,"ns"
"M","2","NR","hour","4","11",0,-0.047619047619048,-0.879479069956646,0.78424097471855,1,"ns"
"M","2","NR","hour","4","12",0,-0.190476190476189,-1.02233621281379,0.641383831861409,1,"ns"
"M","2","NR","hour","4","13",0,-0.19047619047619,-1.02233621281379,0.641383831861408,1,"ns"
"M","2","NR","hour","4","14",0,0.642857142857143,-0.189002879480455,1.47471716519474,0.392,"ns"
"M","2","NR","hour","4","15",0,0.738095238095239,-0.0937647842423595,1.56995526043284,0.158,"ns"
"M","2","NR","hour","4","16",0,0.904761904761906,0.0729018824243077,1.7366219270995,0.0176,"*"
"M","2","NR","hour","4","17",0,0.738095238095238,-0.0937647842423606,1.56995526043284,0.158,"ns"
"M","2","NR","hour","4","18",0,0.476190476190476,-0.355669546147122,1.30805049852807,0.893,"ns"
"M","2","NR","hour","4","19",0,0.142857142857143,-0.689002879480455,0.974717165194741,1,"ns"
"M","2","NR","hour","4","20",0,0.0238095238095238,-0.808050498528074,0.855669546147122,1,"ns"
"M","2","NR","hour","4","21",0,0.0238095238095237,-0.808050498528074,0.855669546147122,1,"ns"
"M","2","NR","hour","4","22",0,-0.0238095238095238,-0.855669546147122,0.808050498528074,1,"ns"
"M","2","NR","hour","4","23",0,0.119047619047619,-0.712812403289979,0.950907641385217,1,"ns"
"M","2","NR","hour","5","6",0,-0.261904761904762,-1.09376478424236,0.569955260432836,1,"ns"
"M","2","NR","hour","5","7",0,-0.19047619047619,-1.02233621281379,0.641383831861408,1,"ns"
"M","2","NR","hour","5","8",0,-0.285714285714287,-1.11757430805189,0.546145736623311,1,"ns"
"M","2","NR","hour","5","9",0,-0.357142857142857,-1.18900287948046,0.474717165194741,0.995,"ns"
"M","2","NR","hour","5","10",0,-0.261904761904762,-1.09376478424236,0.569955260432836,1,"ns"
"M","2","NR","hour","5","11",0,-8.88178419700125e-16,-0.831860022337599,0.831860022337597,1,"ns"
"M","2","NR","hour","5","12",0,-0.142857142857142,-0.97471716519474,0.689002879480456,1,"ns"
"M","2","NR","hour","5","13",0,-0.142857142857143,-0.974717165194741,0.689002879480455,1,"ns"
"M","2","NR","hour","5","14",0,0.69047619047619,-0.141383831861408,1.52233621281379,0.259,"ns"
"M","2","NR","hour","5","15",0,0.785714285714286,-0.0461457366233123,1.61757430805188,0.0908,"ns"
"M","2","NR","hour","5","16",0,0.952380952380953,0.120520930043355,1.78424097471855,0.00838,"**"
"M","2","NR","hour","5","17",0,0.785714285714285,-0.0461457366233134,1.61757430805188,0.0908,"ns"
"M","2","NR","hour","5","18",0,0.523809523809523,-0.308050498528075,1.35566954614712,0.78,"ns"
"M","2","NR","hour","5","19",0,0.19047619047619,-0.641383831861408,1.02233621281379,1,"ns"
"M","2","NR","hour","5","20",0,0.071428571428571,-0.760431450909027,0.903288593766169,1,"ns"
