"sex","order","hour","Effect","DFn","DFd","F","p","p<.05","ges","p.adj"
"M","2","0","diet",1,10,1.96,0.192,"",0.164,1
"M","2","1","diet",1,10,10.946,0.008,"*",0.523,0.696
"M","2","2","diet",1,10,0,1,"",0,1
"M","2","3","diet",1,10,2.647,0.135,"",0.209,1
"M","2","4","diet",1,10,7.364,0.022,"*",0.424,1
"M","2","5","diet",1,10,9.494,0.012,"*",0.487,1
"M","2","6","diet",1,10,0.31,0.59,"",0.03,1
"M","2","7","diet",1,10,3.571,0.088,"",0.263,1
"M","2","8","diet",1,10,0,1,"",0,1
"M","2","9","diet",1,10,0.27,0.614,"",0.026,1
"M","2","10","diet",1,10,0.435,0.525,"",0.042,1
"M","2","11","diet",1,10,6.168,0.032,"*",0.381,1
"M","2","12","diet",1,10,3.857,0.078,"",0.278,1
"M","2","13","diet",1,10,5.282,0.044,"*",0.346,1
"M","2","14","diet",1,10,11.514,0.007,"*",0.535,0.623
"M","2","15","diet",1,10,8.214,0.017,"*",0.451,1
"M","2","16","diet",1,10,17.275,0.002,"*",0.633,0.186
"M","2","17","diet",1,10,13.009,0.005,"*",0.565,0.45
"M","2","18","diet",1,10,15.728,0.003,"*",0.611,0.276
"M","2","19","diet",1,10,9.03,0.013,"*",0.475,1
"M","2","20","diet",1,10,23.71,0.000652,"*",0.703,0.06194
"M","2","21","diet",1,10,20.769,0.001,"*",0.675,0.094
"M","2","22","diet",1,10,5.248,0.045,"*",0.344,1
"M","2","23","diet",1,10,5.554,0.04,"*",0.357,1
