"sex","order","diet","term","group1","group2","null.value","estimate","conf.low","conf.high","p.adj","p.adj.signif"
"F","1","NR","hour","4","8",0,-0.599999999999999,-3.07827080106786,1.87827080106787,1,"ns"
"F","1","NR","hour","4","9",0,-0.628571428571428,-3.10684222963929,1.84969937249644,1,"ns"
"F","1","NR","hour","4","10",0,-0.742857142857143,-3.22112794392501,1.73541365821072,1,"ns"
"F","1","NR","hour","4","11",0,-0.6,-3.07827080106786,1.87827080106787,1,"ns"
"F","1","NR","hour","4","12",0,-0.571428571428571,-3.04969937249644,1.90684222963929,1,"ns"
"F","1","NR","hour","4","13",0,1.22857142857143,-1.24969937249644,3.70684222963929,0.971,"ns"
"F","1","NR","hour","4","14",0,1.25714285714286,-1.22112794392501,3.73541365821072,0.963,"ns"
"F","1","NR","hour","4","15",0,0.885714285714286,-1.59255651535358,3.36398508678215,1,"ns"
"F","1","NR","hour","4","16",0,0.6,-1.87827080106786,3.07827080106787,1,"ns"
"F","1","NR","hour","4","17",0,0.542857142857143,-1.93541365821072,3.02112794392501,1,"ns"
"F","1","NR","hour","4","18",0,-0.0571428571428571,-2.53541365821072,2.42112794392501,1,"ns"
"F","1","NR","hour","4","19",0,-0.142857142857143,-2.62112794392501,2.33541365821072,1,"ns"
"F","1","NR","hour","4","20",0,-0.657142857142857,-3.13541365821072,1.82112794392501,1,"ns"
"F","1","NR","hour","4","21",0,-0.342857142857143,-2.82112794392501,2.13541365821072,1,"ns"
"F","1","NR","hour","4","22",0,-0.342857142857143,-2.82112794392501,2.13541365821072,1,"ns"
"F","1","NR","hour","4","23",0,0.0285714285714284,-2.44969937249644,2.50684222963929,1,"ns"
"F","1","NR","hour","5","6",0,-4.9960036108132e-16,-2.47827080106787,2.47827080106786,1,"ns"
"F","1","NR","hour","5","7",0,-0.228571428571427,-2.70684222963929,2.24969937249644,1,"ns"
"F","1","NR","hour","5","8",0,-0.114285714285713,-2.59255651535358,2.36398508678215,1,"ns"
