MouseID,Phase,Start_Time,End_Time,Duration_Minutes,Number_of_Pellets
FEDXA04,NR,5/4/2022 0:03,5/4/2022 0:05,1.6,10
FEDXA04,NR,5/4/2022 23:20,5/4/2022 23:22,2.12,13
FEDXA04,NR,5/4/2022 23:50,5/4/2022 23:52,2.38,12
FEDXA04,NR,5/5/2022 0:35,5/5/2022 0:37,1.93,11
FEDXA04,NR,5/5/2022 5:41,5/5/2022 5:44,2.88,16
FEDXA04,NR,5/5/2022 6:56,5/5/2022 6:58,2.55,12
FEDXA04,NR,5/6/2022 0:05,5/6/2022 0:07,1.75,10
FEDXA04,NR,5/6/2022 0:24,5/6/2022 0:26,1.68,11
FEDXA04,NR,5/6/2022 0:58,5/6/2022 1:00,2,12
FEDXA04,NR,5/6/2022 21:33,5/6/2022 21:35,2.02,13
FEDXA04,NR,5/6/2022 23:07,5/6/2022 23:09,1.8,12
FEDXA04,NR,5/6/2022 23:46,5/6/2022 23:48,2.15,12
FEDXA04,NR,5/7/2022 1:55,5/7/2022 1:56,1.87,11
FEDXA04,NR,5/8/2022 1:49,5/8/2022 1:51,2.12,12
FEDXA04,NR,5/8/2022 4:16,5/8/2022 4:18,2.3,12
FEDXA04,NR,5/8/2022 6:16,5/8/2022 6:19,2.32,11
FEDXA04,NR,5/8/2022 23:23,5/8/2022 23:24,1.67,12
FEDXA04,NR,5/9/2022 2:59,5/9/2022 3:01,1.85,11
FEDXA04,NR,5/9/2022 5:02,5/9/2022 5:04,2,10
FEDXA04,NR,5/9/2022 8:27,5/9/2022 8:30,2.6,11
FEDXA04,NR,5/10/2022 1:05,5/10/2022 1:08,2.8,11
FEDXA04,NR,5/10/2022 3:16,5/10/2022 3:19,2.15,11
FEDXA05,GRAIN,4/23/2022 22:45,4/23/2022 22:47,2.43,16
FEDXA05,GRAIN,4/23/2022 23:25,4/23/2022 23:26,1.6,11
FEDXA05,GRAIN,4/23/2022 23:38,4/23/2022 23:40,1.73,10
FEDXA05,GRAIN,4/24/2022 0:21,4/24/2022 0:23,2.42,12
FEDXA05,GRAIN,4/24/2022 7:07,4/24/2022 7:10,2.63,14
